Rank,Savory,Category,Sweet,Category
1,Cinnamon,Spices,Vanilla,Herbs
2,Honey,Sugars,Marzipan,Other
3,Olive oil,Oils,Dark chocolate,Other
4,Almond,Nut,Lemon,Fruits
5,Apple cider vinegar,Vinegars,White chocolate,Other
6,Chicken,Meats,Almond,Nut
7,Cloves,Spices,Cinnamon,Spices
8,Cocoa,Other,Apple,Fruits
9,Dark rum,Alcohol,Honey,Sugars
10,Ketchup,Condiments,Lime,Fruits
11,Lemongrass,Herbs,Mint,Herbs
12,Lime,Fruits,Pistachio,Nut
13,Mustard,Condiments,Rhubarb,Fruits
14,Onion,Vegetables,Banana,Fruits
15,Pepper,Spices,Cardamom,Spices
16,Pointed cabbage,Vegetables,Cloves,Spices
17,Sesame seed,Seeds,Cocoa,Other
18,Smoked paprika,Spices,Dark rum,Alcohol
19,Vanilla,Herbs,Elderflower,Herbs
20,Worcestershire sauce,Condiments,Hazelnut,Nut
21,,,Light rum,Alcohol
22,,,Milk chocolate,Other
23,,,Orange,Fruits
24,,,Peach,Fruits
25,,,Pear,Fruits
26,,,Prune,Fruits
27,,,Star anise,Spices
28,,,Strawberry,Berries
29,,,Walnut,Nut
30,,,Wood sorrel,Herbs
