Rank,Savory,Category
1,Pepper,Spices
2,Garlic,Herbs
3,Olive oil,Oils
4,Chili,Herbs
5,Lemon,Fruits
6,Onion,Vegetables
7,Cilantro,Herbs
8,Honey,Sugars
9,Mustard,Condiments
10,Apple,Fruits
11,Apple cider vinegar,Vinegars
12,Brocolli,Vegetables
13,Carrot,Other
14,Creme fraiche,Dairy
15,Cucumber,Vegetables
16,Dill,Herbs
17,Ginger,Herbs
18,Lime,Fruits
19,Parsley,Herbs
20,Potato,Vegetables
21,Red onion,Vegetables
22,Spring onion,Vegetables
23,Almond,Nut
24,Avocado,Vegetables
25,Bacon,Meats
26,Balsamic vinegar,Vinegars
27,Bean sprout,Vegetables
28,Capers,Other
29,Chive,Herbs
30,Cinnamon,Spices
31,Cloves,Spices
32,Coconut,Nut
33,Cumin,Spices
34,Curry,Spices
35,Fennel,Vegetables
36,Fish sauce,Other
37,Hazelnut,Nut
38,Mayonnaise,Condiments
39,Noodle,Other
40,Orange,Fruits
41,Paprika,Spices
42,Parmesan,Dairy
43,Peanit,Nut
44,Pomegranate,Fruits
45,Pork,Meats
46,Red cabbage,Vegetables
47,Red wine,Alcohol
48,Rice,Other
49,Rosemary,Herbs
50,Rye bread,Other
51,Salmon,Meats
52,Sesame seed,Seeds
53,Soy,Other
54,Timian,Herbs
55,Tomato,Vegetables
56,Yoghurt,Dairy
57,Zucchini,Vegetables
58,Allspice,Spices
59,Arugula,Vegetables
60,Asparagus,Vegetables
61,Bay leaf,Herbs
62,Beef,Meats
63,Beetroot,Vegetables
64,Bell pepper,Vegetables
65,Blackberry,Berries
66,Cardamom,Spices
67,Cauliflower,Vegetables
68,Chicken,Meats
69,Chorizo,Meats
70,Cocoa,Other
71,Cream,Dairy
72,Edamame,Vegetables
73,Feta,Cheeses
74,Goat cheese,Cheeses
75,Grapefruit,Fruits
76,Jamón,Meats
77,Kale,Vegetables
78,Leek,Vegetables
79,Mango,Fruits
80,Mint,Herbs
81,Mushroom,Vegetables
82,Nutmeg,Spices
83,Pasta,Other
84,Peanut butter,Nut
85,Pear,Fruits
86,Pecan,Nut
87,Pine nut,Nut
88,Plum,Berries
89,Portwine,Alcohol
90,Pumpkin,Vegetables
91,Raspberry,Berries
92,Rhubarb,Fruits
93,Salad,Other
94,Sea buckthorn,Berries
95,Smoked paprika,Spices
96,Tarragon,Herbs
97,Walnut,Nut
98,White wine vinegar,Vinegars
