Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lime,Fruits,Olive oil,Oils,Lemon,Fruits
2,Gin,Alcohol,Lemon,Fruits,Vanilla,Herbs
3,Honey,Sugars,Pepper,Spices,Almond,Nut
4,Mint,Herbs,Garlic,Herbs,Lime,Fruits
5,Orange,Fruits,Honey,Sugars,Orange,Fruits
6,Rosemary,Herbs,Parsley,Herbs,Banana,Fruits
7,Schnapps,Alcohol,Cumin,Spices,Blackcurrant,Berries
8,White rum,Alcohol,Mustard,Condiments,Buttermilk,Dairy
9,,,Red onion,Vegetables,Carrot,Other
10,,,Tahin,Other,Chia seed,Seeds
11,,,Walnut,Nut,Chokeberry,Berries
12,,,Apple cider vinegar,Vinegars,Condensed milk,Dairy
13,,,Chili,Herbs,Dark chocolate,Other
14,,,Cilantro,Herbs,Hazelnut,Nut
15,,,Kale,Vegetables,Mascarpone,Cheeses
16,,,Mint,Herbs,Matcha tea,Beverages
17,,,Onion,Vegetables,Milk chocolate,Other
18,,,Orange,Fruits,Pistachio,Nut
19,,,Spring onion,Vegetables,Raspberry,Berries
20,,,Yoghurt,Dairy,Walnut,Nut
21,,,Almond,Nut,White chocolate,Other
22,,,Apple,Fruits,Yoghurt,Dairy
23,,,Bacon,Meats,,
24,,,Brocolli,Vegetables,,
25,,,Carrot,Other,,
26,,,Cauliflower,Vegetables,,
27,,,Cranberry,Berries,,
28,,,Dill,Herbs,,
29,,,Egg plant,Vegetables,,
30,,,Feta,Cheeses,,
31,,,Fig,Fruits,,
32,,,Ginger,Herbs,,
33,,,Goat cheese,Cheeses,,
34,,,Paprika,Spices,,
35,,,Parmesan,Dairy,,
36,,,Pine nut,Nut,,
37,,,Pineapple,Fruits,,
38,,,Pistachio,Nut,,
39,,,Pointed cabbage,Vegetables,,
40,,,Red cabbage,Vegetables,,
41,,,Spinach,Spices,,
42,,,Timian,Herbs,,
43,,,Tomato,Vegetables,,
44,,,Vanilla,Herbs,,
45,,,Apricot,Fruits,,
46,,,Arugula,Vegetables,,
47,,,Balsamic vinegar,Vinegars,,
48,,,Banana,Fruits,,
49,,,Basil,Herbs,,
50,,,Bay leaf,Herbs,,
51,,,Bell pepper,Vegetables,,
52,,,Celeriac,Vegetables,,
53,,,Celery,Vegetables,,
54,,,Chive,Herbs,,
55,,,Chorizo,Meats,,
56,,,Cocoa,Other,,
57,,,Cream cheese,Cheeses,,
58,,,Dark chocolate,Other,,
59,,,Fennel,Vegetables,,
60,,,Fish sauce,Other,,
61,,,Grapefruit,Fruits,,
62,,,Hazelnut,Nut,,
63,,,Mango,Fruits,,
64,,,Mayonnaise,Condiments,,
65,,,Mozzarella,Cheeses,,
66,,,Noodle,Other,,
67,,,Nutmeg,Spices,,
68,,,Peanit,Nut,,
69,,,Pear,Fruits,,
70,,,Potato,Vegetables,,
71,,,Rosemary,Herbs,,
72,,,Saffron,Herbs,,
73,,,Smoked salmon,Meats,,
74,,,Soy,Other,,
75,,,Star anise,Spices,,
76,,,White chocolate,Other,,
77,,,Zucchini,Vegetables,,
