Rank,Savory,Category,Sweet,Category
1,Pepper,Spices,Lemon,Fruits
2,Pumpkin seed,Seeds,Vanilla,Herbs
3,Sourdough,Other,Orange,Fruits
4,Caraway,Spices,Raspberry,Berries
5,Cinnamon,Spices,Marzipan,Other
6,Cranberry,Berries,Banana,Fruits
7,Fennel,Vegetables,Buttermilk,Dairy
8,Flaxseed,Seeds,Cream cheese,Cheeses
9,Garlic,Herbs,Honey,Sugars
10,Hazelnut,Nut,Almond,Nut
11,Honey,Sugars,Apple,Fruits
12,Paprika,Spices,Blackberry,Berries
13,Parmesan,Dairy,Cardamom,Spices
14,Red cabbage,Vegetables,Cinnamon,Spices
15,Soy,Other,Cocoa,Other
16,,,Creme fraiche,Dairy
17,,,Dark chocolate,Other
18,,,Lemon balm,Herbs
19,,,Marshmallow,Candy
20,,,Milk chocolate,Other
21,,,Nutmeg,Spices
22,,,Pistachio,Nut
23,,,Raisin,Fruits
24,,,Rhubarb,Fruits
25,,,Strawberry,Berries
26,,,White chocolate,Other
