Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Brandy,Alcohol,Onion,Vegetables,Vanilla,Herbs
2,Nutmeg,Spices,Red wine,Alcohol,Lemon,Fruits
3,,,Timian,Herbs,Almond,Nut
4,,,Carrot,Other,White chocolate,Other
5,,,Ginger,Herbs,Marzipan,Other
6,,,Olive oil,Oils,Cardamom,Spices
7,,,Orange,Fruits,Cinnamon,Spices
8,,,Allspice,Spices,Cloves,Spices
9,,,Balsamic vinegar,Vinegars,Dark chocolate,Other
10,,,Bay leaf,Herbs,Blueberry,Berries
11,,,Cardamom,Spices,Fig,Fruits
12,,,Celery,Vegetables,Ginger,Herbs
13,,,Cinnamon,Spices,Orange,Fruits
14,,,Cloves,Spices,Raisin,Fruits
15,,,Honey,Sugars,Rhubarb,Fruits
16,,,Lemon,Fruits,Strawberry,Berries
17,,,Mushroom,Vegetables,Walnut,Nut
18,,,Nutmeg,Spices,Allspice,Spices
19,,,Sage,Herbs,Anise,Spices
20,,,Star anise,Spices,Apple,Fruits
21,,,Vanilla,Herbs,Apple cider vinegar,Vinegars
22,,,Apple cider vinegar,Vinegars,Apricot,Fruits
23,,,Blackberry,Berries,Blackcurrant,Berries
24,,,Cognac,Alcohol,Cherry,Berries
25,,,Corn,Vegetables,Cherry wine,Alcohol
26,,,Dark rum,Alcohol,Chestnut,Nut
27,,,Garlic,Herbs,Cocoa,Other
28,,,Grapefruit,Fruits,Coconut,Nut
29,,,Leek,Vegetables,Cognac,Alcohol
30,,,Licorice,Candy,Creme fraiche,Dairy
31,,,Mustard,Condiments,Currant,Berries
32,,,Parsley,Herbs,Dark rum,Alcohol
33,,,Pepper,Spices,Date,Fruits
34,,,Pointed cabbage,Vegetables,Elderflower,Herbs
35,,,Schnapps,Alcohol,Hazelnut,Nut
36,,,White wine,Alcohol,Honey,Sugars
37,,,,,Lime,Fruits
38,,,,,Marshmallow,Candy
39,,,,,Mascarpone,Cheeses
40,,,,,Pear,Fruits
41,,,,,Pistachio,Nut
42,,,,,Raspberry,Berries
43,,,,,Red wine,Alcohol
44,,,,,Redcurrant,Berries
45,,,,,Squid ink,Other
