Rank,Savory,Category,Sweet,Category
1,Olive oil,Oils,Almond,Nut
2,Onion,Vegetables,Apple,Fruits
3,Garlic,Herbs,Cardamom,Spices
4,Pepper,Spices,Cinnamon,Spices
5,Carrot,Other,Marzipan,Other
6,Lemon,Fruits,Vanilla,Herbs
7,Mustard,Condiments,,
8,Parsley,Herbs,,
9,Timian,Herbs,,
10,Bay leaf,Herbs,,
11,Leek,Vegetables,,
12,Red onion,Vegetables,,
13,Tomato,Vegetables,,
14,Bacon,Meats,,
15,Basil,Herbs,,
16,Beef,Meats,,
17,Capers,Other,,
18,Celeriac,Vegetables,,
19,Celery,Vegetables,,
20,Chicken stock,Other,,
21,Chili,Herbs,,
22,Chive,Herbs,,
23,Cilantro,Herbs,,
24,Cream,Dairy,,
25,Creme fraiche,Dairy,,
26,Cumin,Spices,,
27,Dill,Herbs,,
28,Flatleaf Parsley,Herbs,,
29,Ginger,Herbs,,
30,Honey,Sugars,,
31,Mushroom,Vegetables,,
32,Nutmeg,Spices,,
33,Paprika,Spices,,
34,Parmesan,Dairy,,
35,Pea,Vegetables,,
36,Rosemary,Herbs,,
37,Shallot,Vegetables,,
38,Spinach,Spices,,
39,Spring onion,Vegetables,,
40,White wine,Alcohol,,
41,White wine vinegar,Vinegars,,
42,Worcestershire sauce,Condiments,,
43,Zucchini,Vegetables,,
44,Allspice,Spices,,
45,Almond,Nut,,
46,Anchovy,Meats,,
47,Apple,Fruits,,
48,Apple cider vinegar,Vinegars,,
49,Apricot,Fruits,,
50,Arugula,Vegetables,,
51,Asparagus,Vegetables,,
52,Avocado,Vegetables,,
53,Balsamic vinegar,Vinegars,,
54,Bean,Vegetables,,
55,Bean sprout,Vegetables,,
56,Beer,Alcohol,,
57,Beetroot,Vegetables,,
58,Bell pepper,Vegetables,,
59,Bread,Other,,
60,Brocolli,Vegetables,,
61,Butternut squash,Vegetables,,
62,Cardamom,Spices,,
63,Cashew,Nut,,
64,Cauliflower,Vegetables,,
65,Cayenne pepper,Spices,,
66,Cheddar,Cheeses,,
67,Chicken,Meats,,
68,Chick pea,Vegetables,,
69,Chorizo,Meats,,
70,Cinnamon,Spices,,
71,Cloves,Spices,,
72,Coconut,Nut,,
73,Cognac,Alcohol,,
74,Coriander seed,Other,,
75,Corn,Vegetables,,
76,Courgette,Vegetables,,
77,Cream cheese,Cheeses,,
78,Cucumber,Vegetables,,
79,Curry,Spices,,
80,Edamame,Vegetables,,
81,Egg plant,Vegetables,,
82,Fennel,Vegetables,,
83,Fennel seed,Spices,,
84,Feta,Cheeses,,
85,Fish sauce,Other,,
86,Flaxseed,Seeds,,
87,Garam masala,Spices,,
88,Goat cheese,Cheeses,,
89,Hazelnut,Nut,,
90,Jamón,Meats,,
91,Kale,Vegetables,,
92,Ketchup,Condiments,,
93,Lime,Fruits,,
94,Mango,Fruits,,
95,Maple syrup,Sugars,,
96,Mascarpone,Cheeses,,
97,Mayonnaise,Condiments,,
98,Mint,Herbs,,
99,Mozzarella,Cheeses,,
100,Orange,Fruits,,
101,Oragano,Herbs,,
102,Parsley root,Vegetables,,
103,Peanit,Nut,,
104,Pear,Fruits,,
105,Pickling vinegar,Vinegars,,
106,Pine nut,Nut,,
107,Pointed cabbage,Vegetables,,
108,Pomegranate,Fruits,,
109,Pork,Meats,,
110,Prune,Fruits,,
111,Pumpkin,Vegetables,,
112,Pumpkin seed,Seeds,,
113,Raisin,Fruits,,
114,Rapeseed oil,Oils,,
115,Raspberry,Berries,,
116,Red cabbage,Vegetables,,
117,Red wine,Alcohol,,
118,Rice,Other,,
119,Ricotta,Cheeses,,
120,Rye bread,Other,,
121,Saffron,Herbs,,
122,Sage,Herbs,,
123,Salad,Other,,
124,Salmon,Meats,,
125,Schnapps,Alcohol,,
126,Sea buckthorn,Berries,,
127,Sesame seed,Seeds,,
128,Smoked paprika,Spices,,
129,Smoked salmon,Meats,,
130,Soy,Other,,
131,Star anise,Spices,,
132,Sundried tomato,Vegetables,,
133,Sweet potato,Vegetables,,
134,Tabasco,Condiments,,
135,Tarragon,Herbs,,
136,Turmeric,Spices,,
137,Vanilla,Herbs,,
138,Vegetable stock,Other,,
139,Watercress,Vegetables,,
140,Yoghurt,Dairy,,
