Rank,Savory,Category,Sweet,Category
1,Apple,Fruits,Almond,Nut
2,Carrot,Other,Marzipan,Other
3,Onion,Vegetables,Apricot,Fruits
4,Bay leaf,Herbs,Dark chocolate,Other
5,Pepper,Spices,Vanilla,Herbs
6,Red wine,Alcohol,Lemon,Fruits
7,Timian,Herbs,Walnut,Nut
8,Garlic,Herbs,White chocolate,Other
9,Celeriac,Vegetables,Cardamom,Spices
10,Celery,Vegetables,Cinnamon,Spices
11,Leek,Vegetables,Condensed milk,Dairy
12,Olive oil,Oils,Cream cheese,Cheeses
13,Orange,Fruits,Ginger,Herbs
14,Red onion,Vegetables,Honey,Sugars
15,Dark chocolate,Other,Licorice,Candy
16,Lemon,Fruits,Mango,Fruits
17,Mustard,Condiments,Orange,Fruits
18,Nutmeg,Spices,Plum,Berries
19,Parsley,Herbs,Raisin,Fruits
20,Pear,Fruits,Raspberry,Berries
21,Potato,Vegetables,Rum,Alcohol
22,Rosemary,Herbs,Sea buckthorn,Berries
23,,,Vodka,Alcohol
