Rank,Savory,Category,Sweet,Category
1,Olive oil,Oils,Flaxseed,Seeds
2,Pepper,Spices,Cinnamon,Spices
3,Honey,Sugars,Almond,Nut
4,Lemon,Fruits,Cardamom,Spices
5,Garlic,Herbs,Dark chocolate,Other
6,Apple,Fruits,Hazelnut,Nut
7,Carrot,Other,Lemon,Fruits
8,Onion,Vegetables,Vanilla,Herbs
9,Sesame seed,Seeds,Apple,Fruits
10,Chili,Herbs,Apricot,Fruits
11,Cilantro,Herbs,Caraway,Spices
12,Cranberry,Berries,Chia seed,Seeds
13,Cumin,Spices,Cocoa,Other
14,Feta,Cheeses,Cream cheese,Cheeses
15,Flaxseed,Seeds,Ginger,Herbs
16,Mustard,Condiments,Honey,Sugars
17,Parsley,Herbs,Marshmallow,Candy
18,Pine nut,Nut,Nutmeg,Spices
19,Potato,Vegetables,Olive oil,Oils
20,Pumpkin,Vegetables,Rhubarb,Fruits
21,Red onion,Vegetables,Rye bread,Other
22,Timian,Herbs,Sesame seed,Seeds
23,Watermelon,Fruits,Sourdough,Other
24,Almond,Nut,White chocolate,Other
25,Apple cider vinegar,Vinegars,Yoghurt,Dairy
26,Arugula,Vegetables,,
27,Avocado,Vegetables,,
28,Basil,Herbs,,
29,Blood orange,Fruits,,
30,Bread,Other,,
31,Brocolli,Vegetables,,
32,Capers,Other,,
33,Caraway,Spices,,
34,Cauliflower,Vegetables,,
35,Celery,Vegetables,,
36,Chick pea,Vegetables,,
37,Cinnamon,Spices,,
38,Creme fraiche,Dairy,,
39,Cucumber,Vegetables,,
40,Dill,Herbs,,
41,Elderflower,Herbs,,
42,Fennel,Vegetables,,
43,Ginger,Herbs,,
44,Hazelnut,Nut,,
45,Kale,Vegetables,,
46,Lime,Fruits,,
47,Maple syrup,Sugars,,
48,Mint,Herbs,,
49,Mushroom,Vegetables,,
50,Nutmeg,Spices,,
51,Parmesan,Dairy,,
52,Pistachio,Nut,,
53,Poppy seed,Seeds,,
54,Red cabbage,Vegetables,,
55,Rosemary,Herbs,,
56,Sage,Herbs,,
57,Smoked paprika,Spices,,
58,Sourdough,Other,,
59,Soy,Other,,
60,Spinach,Spices,,
61,Spring onion,Vegetables,,
62,Sundried tomato,Vegetables,,
63,Tomato,Vegetables,,
64,White wine,Alcohol,,
65,Yoghurt,Dairy,,
66,Zucchini,Vegetables,,
