Rank,Savory,Category,Sweet,Category
1,Olive oil,Oils,Cardamom,Spices
2,Garlic,Herbs,Cinnamon,Spices
3,Onion,Vegetables,Cloves,Spices
4,Lemon,Fruits,Cream cheese,Cheeses
5,Pepper,Spices,Ginger,Herbs
6,Timian,Herbs,Maple syrup,Sugars
7,Chili,Herbs,Nutmeg,Spices
8,Creme fraiche,Dairy,Orange,Fruits
9,Ginger,Herbs,Allspice,Spices
10,Hazelnut,Nut,Apple,Fruits
11,Honey,Sugars,Condensed milk,Dairy
12,Mushroom,Vegetables,Dark chocolate,Other
13,Parmesan,Dairy,Hazelnut,Nut
14,Parsley,Herbs,Marzipan,Other
15,Pumpkin seed,Seeds,Pistachio,Nut
16,Carrot,Other,Star anise,Spices
17,Cumin,Spices,Vanilla,Herbs
18,Kale,Vegetables,Walnut,Nut
19,Mustard,Condiments,White chocolate,Other
20,Nutmeg,Spices,Yoghurt,Dairy
21,Potato,Vegetables,,
22,White wine,Alcohol,,
23,Apple,Fruits,,
24,Apple cider vinegar,Vinegars,,
25,Basil,Herbs,,
26,Bay leaf,Herbs,,
27,Capers,Other,,
28,Celery,Vegetables,,
29,Cheddar,Cheeses,,
30,Chive,Herbs,,
31,Cilantro,Herbs,,
32,Corn,Vegetables,,
33,Feta,Cheeses,,
34,Mint,Herbs,,
35,Mozzarella,Cheeses,,
36,Parsley root,Vegetables,,
37,Pasta,Other,,
38,Pointed cabbage,Vegetables,,
39,Rosemary,Herbs,,
40,Sundried tomato,Vegetables,,
41,Tomato,Vegetables,,
42,White wine vinegar,Vinegars,,
