Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Cinnamon,Spices,Olive oil,Oils,Cinnamon,Spices
2,Ginger,Herbs,Cinnamon,Spices,Almond,Nut
3,Orange,Fruits,Garlic,Herbs,Cardamom,Spices
4,Vodka,Alcohol,Onion,Vegetables,Cloves,Spices
5,,,Cilantro,Herbs,Lemon,Fruits
6,,,Pine nut,Nut,Marzipan,Other
7,,,Apple,Fruits,Vanilla,Herbs
8,,,Ginger,Herbs,Orange,Fruits
9,,,Lemon,Fruits,Dark chocolate,Other
10,,,Rice,Other,White chocolate,Other
11,,,Saffron,Herbs,Apricot,Fruits
12,,,Turmeric,Spices,Ginger,Herbs
13,,,Cardamom,Spices,Hazelnut,Nut
14,,,Coconut,Nut,Apple,Fruits
15,,,Curry,Spices,Currant,Berries
16,,,Honey,Sugars,Nutmeg,Spices
17,,,Red onion,Vegetables,Portwine,Alcohol
18,,,Allspice,Spices,Rum,Alcohol
19,,,Almond,Nut,Allspice,Spices
20,,,Apple cider vinegar,Vinegars,Baileys,Alcohol
21,,,Balsamic vinegar,Vinegars,Banana,Fruits
22,,,Banana,Fruits,Blackcurrant,Berries
23,,,Bay leaf,Herbs,Buttermilk,Dairy
24,,,Beef,Meats,Cashew,Nut
25,,,Bell pepper,Vegetables,Cherry,Berries
26,,,Carrot,Other,Cocoa,Other
27,,,Cauliflower,Vegetables,Coffee,Beverages
28,,,Chicken,Meats,Cognac,Alcohol
29,,,Chicken stock,Other,Cranberry,Berries
30,,,Chili,Herbs,Dark rum,Alcohol
31,,,Cloves,Spices,Date,Fruits
32,,,Couscous,Other,Fig,Fruits
33,,,Cucumber,Vegetables,Grand Marnier,Alcohol
34,,,Cumin,Spices,Lime,Fruits
35,,,Dark rum,Alcohol,Poppy seed,Seeds
36,,,Dill,Herbs,Prune,Fruits
37,,,Egg plant,Vegetables,Vodka,Alcohol
38,,,Flatleaf Parsley,Herbs,,
39,,,Lime,Fruits,,
40,,,Mango,Fruits,,
41,,,Marzipan,Other,,
42,,,Mayonnaise,Condiments,,
43,,,Mint,Herbs,,
44,,,Mozzarella,Cheeses,,
45,,,Mustard,Condiments,,
46,,,Paprika,Spices,,
47,,,Parsley,Herbs,,
48,,,Pasta,Other,,
49,,,Peanit,Nut,,
50,,,Pepper,Spices,,
51,,,Potato,Vegetables,,
52,,,Rapeseed oil,Oils,,
53,,,Red wine,Alcohol,,
54,,,Sage,Herbs,,
55,,,Salmon,Meats,,
56,,,Shallot,Vegetables,,
57,,,Smoked paprika,Spices,,
58,,,Spinach,Spices,,
59,,,Spring onion,Vegetables,,
60,,,Star anise,Spices,,
61,,,Timian,Herbs,,
62,,,Tomato,Vegetables,,
63,,,White wine,Alcohol,,
64,,,Yoghurt,Dairy,,
