Rank,Savory,Category,Sweet,Category
1,Garlic,Herbs,Tahin,Other
2,Cilantro,Herbs,,
3,Onion,Vegetables,,
4,Lemon,Fruits,,
5,Olive oil,Oils,,
6,Red onion,Vegetables,,
7,Balsamic vinegar,Vinegars,,
8,Flatleaf Parsley,Herbs,,
9,Shallot,Vegetables,,
10,Spring onion,Vegetables,,
11,White wine,Alcohol,,
12,Cauliflower,Vegetables,,
13,Cayenne pepper,Spices,,
14,Celery,Vegetables,,
15,Chili,Herbs,,
16,Chorizo,Meats,,
17,Cream,Dairy,,
18,Feta,Cheeses,,
19,Mint,Herbs,,
20,Mustard,Condiments,,
21,Parsley,Herbs,,
22,Potato,Vegetables,,
23,Rice,Other,,
24,Smoked paprika,Spices,,
25,Tahin,Other,,
26,Timian,Herbs,,
27,Tomato,Vegetables,,
28,Avocado,Vegetables,,
29,Basil,Herbs,,
30,Brocolli,Vegetables,,
31,Carrot,Other,,
32,Cheddar,Cheeses,,
33,Chicken stock,Other,,
34,Cinnamon,Spices,,
35,Coriander seed,Other,,
36,Couscous,Other,,
37,Cumin,Spices,,
38,Fennel,Vegetables,,
39,Ginger,Herbs,,
40,Honey,Sugars,,
41,Mushroom,Vegetables,,
42,Nutmeg,Spices,,
43,Paprika,Spices,,
44,Parmesan,Dairy,,
45,Pea,Vegetables,,
46,Raisin,Fruits,,
47,Red wine,Alcohol,,
48,Sage,Herbs,,
49,Soy,Other,,
50,Spinach,Spices,,
51,Sweet potato,Vegetables,,
52,Turmeric,Spices,,
53,Watercress,Vegetables,,
54,White wine vinegar,Vinegars,,
55,Yoghurt,Dairy,,
