Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lemon,Fruits,Vanilla,Herbs,Vanilla,Herbs
2,Gin,Alcohol,Banana,Fruits,Lemon,Fruits
3,Lime,Fruits,Almond,Nut,Dark chocolate,Other
4,Mint,Herbs,Orange,Fruits,White chocolate,Other
5,Orange,Fruits,Cinnamon,Spices,Almond,Nut
6,Aperol,Alcohol,Dark chocolate,Other,Marzipan,Other
7,Campari,Alcohol,Hazelnut,Nut,Cocoa,Other
8,Grapefruit,Fruits,White chocolate,Other,Hazelnut,Nut
9,Orange bitter,Alcohol,Baileys,Alcohol,Lime,Fruits
10,Peychaud's Bitters,Alcohol,Bay leaf,Herbs,Pistachio,Nut
11,Rosemary,Herbs,Brocolli,Vegetables,Blueberry,Berries
12,Vodka,Alcohol,Cardamom,Spices,Licorice,Candy
13,,,Cashew,Nut,Orange,Fruits
14,,,Chia seed,Seeds,Strawberry,Berries
15,,,Coconut,Nut,Banana,Fruits
16,,,Coconut sugar,Sugars,Blackberry,Berries
17,,,Date,Fruits,Blackcurrant,Berries
18,,,Fennel,Vegetables,Buttermilk,Dairy
19,,,Kale,Vegetables,Cardamom,Spices
20,,,Milk chocolate,Other,Cinnamon,Spices
21,,,Mint,Herbs,Coconut,Nut
22,,,Nougat,Other,Cream cheese,Cheeses
23,,,Olive oil,Oils,Creme fraiche,Dairy
24,,,Onion,Vegetables,Elderflower,Herbs
25,,,Pointed cabbage,Vegetables,Honey,Sugars
26,,,Potato,Vegetables,Marshmallow,Candy
27,,,Sea buckthorn,Berries,Mascarpone,Cheeses
28,,,Spinach,Spices,Milk chocolate,Other
29,,,Timian,Herbs,Mint,Herbs
30,,,Yoghurt,Dairy,Nougat,Other
31,,,,,Poppy seed,Seeds
32,,,,,Redcurrant,Berries
33,,,,,Rhubarb,Fruits
34,,,,,Wood sorrel,Herbs
35,,,,,Yoghurt,Dairy
36,,,,,Amaretto,Alcohol
37,,,,,Apple cider vinegar,Vinegars
38,,,,,Baileys,Alcohol
39,,,,,Basil,Herbs
40,,,,,Carrot,Other
41,,,,,Cashew,Nut
42,,,,,Champagne,Alcohol
43,,,,,Chili,Herbs
44,,,,,Coffee,Beverages
45,,,,,Cognac,Alcohol
46,,,,,Condensed milk,Dairy
47,,,,,Dark rum,Alcohol
48,,,,,Date,Fruits
49,,,,,Ginger,Herbs
50,,,,,Gooseberry,Berries
51,,,,,Grand Marnier,Alcohol
52,,,,,Kiwi,Berries
53,,,,,Lavender,Herbs
54,,,,,Lemon balm,Herbs
55,,,,,Mango,Fruits
56,,,,,Passionfruit,Fruits
57,,,,,Peach,Fruits
58,,,,,Peanit,Nut
59,,,,,Pear,Fruits
60,,,,,Peppermint,Herbs
61,,,,,Pineapple,Fruits
62,,,,,Pomegranate,Fruits
63,,,,,Portwine,Alcohol
64,,,,,Prune,Fruits
65,,,,,Rum,Alcohol
66,,,,,Sea buckthorn,Berries
67,,,,,Squid ink,Other
68,,,,,Star anise,Spices
69,,,,,Tonic,Beverages
70,,,,,Vodka,Alcohol
71,,,,,Walnut,Nut
72,,,,,White wine vinegar,Vinegars
