Rank,Savory,Category,Sweet,Category
1,Olive oil,Oils,Brown cheese,Cheeses
2,Garlic,Herbs,Cloudberry,Berries
3,Honey,Sugars,Honey,Sugars
4,Pepper,Spices,Marzipan,Other
5,Lemon,Fruits,Strawberry,Berries
6,Mustard,Condiments,White chocolate,Other
7,Onion,Vegetables,,
8,Orange,Fruits,,
9,Bay leaf,Herbs,,
10,Carrot,Other,,
11,Cinnamon,Spices,,
12,Timian,Herbs,,
13,Apple,Fruits,,
14,Apple cider vinegar,Vinegars,,
15,Cilantro,Herbs,,
16,Cloves,Spices,,
17,Cranberry,Berries,,
18,Parsley,Herbs,,
19,Red onion,Vegetables,,
20,Tomato,Vegetables,,
21,Allspice,Spices,,
22,Balsamic vinegar,Vinegars,,
23,Caraway,Spices,,
24,Chili,Herbs,,
25,Cumin,Spices,,
26,Dill,Herbs,,
27,Fennel,Vegetables,,
28,Hazelnut,Nut,,
29,Leek,Vegetables,,
30,Lime,Fruits,,
31,Mint,Herbs,,
32,Nutmeg,Spices,,
33,Pointed cabbage,Vegetables,,
34,Pomegranate,Fruits,,
35,Potato,Vegetables,,
36,Pumpkin seed,Seeds,,
37,Red wine,Alcohol,,
38,Spring onion,Vegetables,,
39,Star anise,Spices,,
40,Walnut,Nut,,
41,Yoghurt,Dairy,,
42,Almond,Nut,,
43,Avocado,Vegetables,,
44,Basil,Herbs,,
45,Beef,Meats,,
46,Blueberry,Berries,,
47,Capers,Other,,
48,Cashew,Nut,,
49,Celeriac,Vegetables,,
50,Celery,Vegetables,,
51,Chestnut,Nut,,
52,Cognac,Alcohol,,
53,Cucumber,Vegetables,,
54,Currant,Berries,,
55,Date,Fruits,,
56,Egg plant,Vegetables,,
57,Garam masala,Spices,,
58,Ginger,Herbs,,
59,Lemongrass,Herbs,,
60,Mayonnaise,Condiments,,
61,Mozzarella,Cheeses,,
62,Oragano,Herbs,,
63,Pear,Fruits,,
64,Pecan,Nut,,
65,Pickling vinegar,Vinegars,,
66,Pistachio,Nut,,
67,Poppy seed,Seeds,,
68,Pork,Meats,,
69,Rice,Other,,
70,Rosemary,Herbs,,
71,Tahin,Other,,
72,Vanilla,Herbs,,
