Rank,Savory,Category,Sweet,Category
1,Olive oil,Oils,Pepper,Spices
2,Garlic,Herbs,Avocado,Vegetables
3,Pepper,Spices,Balsamic vinegar,Vinegars
4,Tomato,Vegetables,Bell pepper,Vegetables
5,Chili,Herbs,Chicken stock,Other
6,Cilantro,Herbs,Chili,Herbs
7,Cumin,Spices,Garlic,Herbs
8,Lemon,Fruits,Ketchup,Condiments
9,Carrot,Other,Lime,Fruits
10,Ginger,Herbs,Mayonnaise,Condiments
11,Honey,Sugars,Olive oil,Oils
12,Parsley,Herbs,Oragano,Herbs
13,Apple,Fruits,Timian,Herbs
14,Apple cider vinegar,Vinegars,White wine vinegar,Vinegars
15,Avocado,Vegetables,,
16,Bacon,Meats,,
17,Balsamic vinegar,Vinegars,,
18,Bay leaf,Herbs,,
19,Bell pepper,Vegetables,,
20,Cheddar,Cheeses,,
21,Chicken stock,Other,,
22,Chick pea,Vegetables,,
23,Cinnamon,Spices,,
24,Creme fraiche,Dairy,,
25,Cucumber,Vegetables,,
26,Dill,Herbs,,
27,Feta,Cheeses,,
28,Flatleaf Parsley,Herbs,,
29,Lime,Fruits,,
30,Mayonnaise,Condiments,,
31,Mint,Herbs,,
32,Mustard,Condiments,,
33,Onion,Vegetables,,
34,Oragano,Herbs,,
35,Paprika,Spices,,
36,Parmesan,Dairy,,
37,Potato,Vegetables,,
38,Rice,Other,,
39,Rosemary,Herbs,,
40,Smoked paprika,Spices,,
41,Soy,Other,,
42,Spinach,Spices,,
43,Spring onion,Vegetables,,
44,Timian,Herbs,,
45,Turmeric,Spices,,
46,Yoghurt,Dairy,,
47,Allspice,Spices,,
48,Almond,Nut,,
49,Anchovy,Meats,,
50,Apple vinegar,Vinegars,,
51,Apricot,Fruits,,
52,Arugula,Vegetables,,
53,Asparagus,Vegetables,,
54,Basil,Herbs,,
55,Bean,Vegetables,,
56,Bean sprout,Vegetables,,
57,Beef,Meats,,
58,Beef stock,Other,,
59,Beer,Alcohol,,
60,Beetroot,Vegetables,,
61,Blueberry,Berries,,
62,Brandy,Alcohol,,
63,Bread,Other,,
64,Brocolli,Vegetables,,
65,Buttermilk,Dairy,,
66,Butternut squash,Vegetables,,
67,Capers,Other,,
68,Cardamom,Spices,,
69,Cashew,Nut,,
70,Cauliflower,Vegetables,,
71,Cayenne pepper,Spices,,
72,Celery,Vegetables,,
73,Chicken,Meats,,
74,Chive,Herbs,,
75,Chorizo,Meats,,
76,Cloves,Spices,,
77,Cocoa,Other,,
78,Coconut,Nut,,
79,Coconut sugar,Sugars,,
80,Coriander seed,Other,,
81,Corn,Vegetables,,
82,Courgette,Vegetables,,
83,Couscous,Other,,
84,Cranberry,Berries,,
85,Cream,Dairy,,
86,Cream cheese,Cheeses,,
87,Curry,Spices,,
88,Dark chocolate,Other,,
89,Date,Fruits,,
90,Edamame,Vegetables,,
91,Egg plant,Vegetables,,
92,Fennel,Vegetables,,
93,Fennel seed,Spices,,
94,Fish sauce,Other,,
95,Flaxseed,Seeds,,
96,Garam masala,Spices,,
97,Hazelnut,Nut,,
98,Kale,Vegetables,,
99,Ketchup,Condiments,,
100,Leek,Vegetables,,
101,Lemongrass,Herbs,,
102,Mango,Fruits,,
103,Maple syrup,Sugars,,
104,Mascarpone,Cheeses,,
105,Mozzarella,Cheeses,,
106,Mushroom,Vegetables,,
107,Noodle,Other,,
108,Nutmeg,Spices,,
109,Orange,Fruits,,
110,Parsley root,Vegetables,,
111,Pasta,Other,,
112,Pea,Vegetables,,
113,Peanit,Nut,,
114,Pear,Fruits,,
115,Pecan,Nut,,
116,Pickling vinegar,Vinegars,,
117,Pine nut,Nut,,
118,Pistachio,Nut,,
119,Pointed cabbage,Vegetables,,
120,Pomegranate,Fruits,,
121,Pork,Meats,,
122,Prune,Fruits,,
123,Pumpkin seed,Seeds,,
124,Raisin,Fruits,,
125,Rapeseed oil,Oils,,
126,Red cabbage,Vegetables,,
127,Red wine,Alcohol,,
128,Rhubarb,Fruits,,
129,Ricotta,Cheeses,,
130,Rye bread,Other,,
131,Saffron,Herbs,,
132,Sage,Herbs,,
133,Salad,Other,,
134,Salmon,Meats,,
135,Sesame seed,Seeds,,
136,Shallot,Vegetables,,
137,Smoked salmon,Meats,,
138,Star anise,Spices,,
139,Strawberry,Berries,,
140,Sundried tomato,Vegetables,,
141,Sweet potato,Vegetables,,
142,Tabasco,Condiments,,
143,Tahin,Other,,
144,Tarragon,Herbs,,
145,Tequila,Alcohol,,
146,Vanilla,Herbs,,
147,Vegetable stock,Other,,
148,Vodka,Alcohol,,
149,Walnut,Nut,,
150,Watercress,Vegetables,,
151,White wine,Alcohol,,
152,White wine vinegar,Vinegars,,
153,Worcestershire sauce,Condiments,,
154,Yuzu,Fruits,,
155,Zucchini,Vegetables,,
