Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lemon,Fruits,Garlic,Herbs,Cinnamon,Spices
2,Orange,Fruits,Onion,Vegetables,Almond,Nut
3,Aperol,Alcohol,Olive oil,Oils,Cardamom,Spices
4,Blackberry,Berries,Carrot,Other,Cloves,Spices
5,Cherry,Berries,Tomato,Vegetables,Cumin,Spices
6,Grand Marnier,Alcohol,Bay leaf,Herbs,Dark chocolate,Other
7,Honey,Sugars,Pepper,Spices,Fennel seed,Spices
8,Lime,Fruits,Timian,Herbs,Ginger,Herbs
9,Mint,Herbs,Celery,Vegetables,Lemon,Fruits
10,Strawberry,Berries,Nutmeg,Spices,Marzipan,Other
11,Tequila,Alcohol,Parsley,Herbs,Mustard,Condiments
12,Vodka,Alcohol,Red onion,Vegetables,Orange,Fruits
13,,,Rosemary,Herbs,Paprika,Spices
14,,,Worcestershire sauce,Condiments,Pear,Fruits
15,,,Apple,Fruits,Portwine,Alcohol
16,,,Bacon,Meats,Vanilla,Herbs
17,,,Balsamic vinegar,Vinegars,,
18,,,Beef,Meats,,
19,,,Beef stock,Other,,
20,,,Celeriac,Vegetables,,
21,,,Chicken stock,Other,,
22,,,Chili,Herbs,,
23,,,Cinnamon,Spices,,
24,,,Cumin,Spices,,
25,,,Flatleaf Parsley,Herbs,,
26,,,Honey,Sugars,,
27,,,Leek,Vegetables,,
28,,,Lemon,Fruits,,
29,,,Mushroom,Vegetables,,
30,,,Mustard,Condiments,,
31,,,Orange,Fruits,,
32,,,Oragano,Herbs,,
33,,,Parmesan,Dairy,,
34,,,Portwine,Alcohol,,
35,,,Potato,Vegetables,,
36,,,Prune,Fruits,,
37,,,Shallot,Vegetables,,
38,,,Smoked paprika,Spices,,
39,,,Sundried tomato,Vegetables,,
40,,,Allspice,Spices,,
41,,,Anchovy,Meats,,
42,,,Apple cider vinegar,Vinegars,,
43,,,Avocado,Vegetables,,
44,,,Basil,Herbs,,
45,,,Bell pepper,Vegetables,,
46,,,Blackberry,Berries,,
47,,,Brandy,Alcohol,,
48,,,Butternut squash,Vegetables,,
49,,,Capers,Other,,
50,,,Cardamom,Spices,,
51,,,Cauliflower,Vegetables,,
52,,,Cheddar,Cheeses,,
53,,,Chicken,Meats,,
54,,,Chorizo,Meats,,
55,,,Cilantro,Herbs,,
56,,,Cloves,Spices,,
57,,,Cognac,Alcohol,,
58,,,Corn,Vegetables,,
59,,,Cream,Dairy,,
60,,,Creme fraiche,Dairy,,
61,,,Currant,Berries,,
62,,,Dark chocolate,Other,,
63,,,Egg plant,Vegetables,,
64,,,Fennel seed,Spices,,
65,,,Feta,Cheeses,,
66,,,Ginger,Herbs,,
67,,,Grapefruit,Fruits,,
68,,,Ketchup,Condiments,,
69,,,Maple syrup,Sugars,,
70,,,Mascarpone,Cheeses,,
71,,,Mayonnaise,Condiments,,
72,,,Mozzarella,Cheeses,,
73,,,Paprika,Spices,,
74,,,Pasta,Other,,
75,,,Pea,Vegetables,,
76,,,Pointed cabbage,Vegetables,,
77,,,Pork,Meats,,
78,,,Raisin,Fruits,,
79,,,Rapeseed oil,Oils,,
80,,,Red cabbage,Vegetables,,
81,,,Rice,Other,,
82,,,Ricotta,Cheeses,,
83,,,Soy,Other,,
84,,,Spinach,Spices,,
85,,,Spring onion,Vegetables,,
86,,,Star anise,Spices,,
87,,,Vegetable stock,Other,,
88,,,Vodka,Alcohol,,
89,,,Walnut,Nut,,
90,,,White wine,Alcohol,,
91,,,Zucchini,Vegetables,,
