Rank,Savory,Category,Sweet,Category
1,Olive oil,Oils,Vanilla,Herbs
2,Pepper,Spices,Lemon,Fruits
3,Almond,Nut,Almond,Nut
4,Apple cider vinegar,Vinegars,Apple,Fruits
5,Blueberry,Berries,Marzipan,Other
6,Feta,Cheeses,Blackcurrant,Berries
7,Garlic,Herbs,Raspberry,Berries
8,Gooseberry,Berries,Blackberry,Berries
9,Honey,Sugars,Creme fraiche,Dairy
10,Mango,Fruits,Dark chocolate,Other
11,,,Hazelnut,Nut
12,,,Strawberry,Berries
13,,,White chocolate,Other
14,,,Blueberry,Berries
15,,,Cocoa,Other
16,,,Condensed milk,Dairy
17,,,Elderflower,Herbs
18,,,Honey,Sugars
19,,,Licorice,Candy
20,,,Lime,Fruits
21,,,Mascarpone,Cheeses
22,,,Cardamom,Spices
23,,,Cashew,Nut
24,,,Champagne,Alcohol
25,,,Chestnut,Nut
26,,,Cinnamon,Spices
27,,,Coconut,Nut
28,,,Cognac,Alcohol
29,,,Cream cheese,Cheeses
30,,,Dark rum,Alcohol
31,,,Gooseberry,Berries
32,,,Lemon balm,Herbs
33,,,Marshmallow,Candy
34,,,Milk chocolate,Other
35,,,Mint,Herbs
36,,,Nougat,Other
37,,,Pear,Fruits
38,,,Pepper,Spices
39,,,Pistachio,Nut
40,,,Portwine,Alcohol
41,,,Rhubarb,Fruits
42,,,Rosewater,Other
43,,,Turmeric,Spices
44,,,Vodka,Alcohol
45,,,Wood sorrel,Herbs
46,,,Yoghurt,Dairy
