Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Vanilla,Herbs,Pepper,Spices,Vanilla,Herbs
2,Vodka,Alcohol,Vanilla,Herbs,Almond,Nut
3,Basil,Herbs,Apple cider vinegar,Vinegars,Lemon,Fruits
4,Elderflower,Herbs,Lemon,Fruits,White chocolate,Other
5,Light rum,Alcohol,Olive oil,Oils,Marzipan,Other
6,Lime,Fruits,Arugula,Vegetables,Dark chocolate,Other
7,Mint,Herbs,Asparagus,Vegetables,Strawberry,Berries
8,Strawberry,Berries,Bacon,Meats,Honey,Sugars
9,,,Carrot,Other,Cinnamon,Spices
10,,,Chicken,Meats,Cocoa,Other
11,,,Chicken stock,Other,Cream cheese,Cheeses
12,,,Chili,Herbs,Creme fraiche,Dairy
13,,,Cinnamon,Spices,Hazelnut,Nut
14,,,Cucumber,Vegetables,Lime,Fruits
15,,,Ginger,Herbs,Raspberry,Berries
16,,,Honey,Sugars,Amaretto,Alcohol
17,,,Mascarpone,Cheeses,Apple,Fruits
18,,,Mint,Herbs,Apple cider vinegar,Vinegars
19,,,Mustard,Condiments,Beetroot,Vegetables
20,,,Onion,Vegetables,Blueberry,Berries
21,,,Pickling vinegar,Vinegars,Buttermilk,Dairy
22,,,Pointed cabbage,Vegetables,Cardamom,Spices
23,,,Red onion,Vegetables,Chestnut,Nut
24,,,Rye bread,Other,Coconut,Nut
25,,,,,Condensed milk,Dairy
26,,,,,Elderflower,Herbs
27,,,,,Fig,Fruits
28,,,,,Lemon balm,Herbs
29,,,,,Licorice,Candy
30,,,,,Marshmallow,Candy
31,,,,,Mascarpone,Cheeses
32,,,,,Mint,Herbs
33,,,,,Orange,Fruits
34,,,,,Pistachio,Nut
35,,,,,Plum,Berries
36,,,,,Portwine,Alcohol
37,,,,,Star anise,Spices
38,,,,,Wood sorrel,Herbs
39,,,,,Yoghurt,Dairy
40,,,,,Anise,Spices
41,,,,,Baileys,Alcohol
42,,,,,Basil,Herbs
43,,,,,Blackberry,Berries
44,,,,,Cherry,Berries
45,,,,,Chili,Herbs
46,,,,,Cloves,Spices
47,,,,,Coconut sugar,Sugars
48,,,,,Flaxseed,Seeds
49,,,,,Ginger,Herbs
50,,,,,Gooseberry,Berries
51,,,,,Lavender,Herbs
52,,,,,Lemongrass,Herbs
53,,,,,Maple syrup,Sugars
54,,,,,Nougat,Other
55,,,,,Pine nut,Nut
56,,,,,Poppy seed,Seeds
57,,,,,Pumpkin seed,Seeds
58,,,,,Redcurrant,Berries
59,,,,,Rosewater,Other
60,,,,,Rum,Alcohol
61,,,,,Ladyfingers,Other
62,,,,,Sesame seed,Seeds
63,,,,,Walnut,Nut
