Rank,Savory,Category
1,Garlic,Herbs
2,Onion,Vegetables
3,Cilantro,Herbs
4,Olive oil,Oils
5,Ginger,Herbs
6,Chili,Herbs
7,Cumin,Spices
8,Pepper,Spices
9,Tomato,Vegetables
10,Bell pepper,Vegetables
11,Carrot,Other
12,Cinnamon,Spices
13,Coconut,Nut
14,Lime,Fruits
15,Red onion,Vegetables
16,Soy,Other
17,Turmeric,Spices
18,Yoghurt,Dairy
19,Apple,Fruits
20,Bay leaf,Herbs
21,Brocolli,Vegetables
22,Cardamom,Spices
23,Cashew,Nut
24,Celery,Vegetables
25,Chicken,Meats
26,Chicken stock,Other
27,Chick pea,Vegetables
28,Cloves,Spices
29,Coconut sugar,Sugars
30,Creme fraiche,Dairy
31,Curry,Spices
32,Edamame,Vegetables
33,Fish sauce,Other
34,Flatleaf Parsley,Herbs
35,Garam masala,Spices
36,Lemon,Fruits
37,Mint,Herbs
38,Parsley,Herbs
39,Peanit,Nut
40,Potato,Vegetables
41,Raisin,Fruits
42,Spring onion,Vegetables
43,Timian,Herbs
44,Zucchini,Vegetables
45,Allspice,Spices
46,Almond,Nut
47,Apple cider vinegar,Vinegars
48,Arugula,Vegetables
49,Avocado,Vegetables
50,Balsamic vinegar,Vinegars
51,Banana,Fruits
52,Bean,Vegetables
53,Bean sprout,Vegetables
54,Beef,Meats
55,Bread,Other
56,Butternut squash,Vegetables
57,Cauliflower,Vegetables
58,Cayenne pepper,Spices
59,Cheddar,Cheeses
60,Chorizo,Meats
61,Coriander seed,Other
62,Corn,Vegetables
63,Cream,Dairy
64,Cream cheese,Cheeses
65,Cucumber,Vegetables
66,Dark chocolate,Other
67,Date,Fruits
68,Dill,Herbs
69,Egg plant,Vegetables
70,Hazelnut,Nut
71,Honey,Sugars
72,Ketchup,Condiments
73,Leek,Vegetables
74,Lemongrass,Herbs
75,Mango,Fruits
76,Maple syrup,Sugars
77,Mushroom,Vegetables
78,Nutmeg,Spices
79,Oragano,Herbs
80,Paprika,Spices
81,Pea,Vegetables
82,Peanut butter,Nut
83,Pine nut,Nut
84,Pineapple,Fruits
85,Pointed cabbage,Vegetables
86,Pork,Meats
87,Rapeseed oil,Oils
88,Red cabbage,Vegetables
89,Red wine,Alcohol
90,Rosemary,Herbs
91,Saffron,Herbs
92,Salad,Other
93,Salmon,Meats
94,Sesame seed,Seeds
95,Shallot,Vegetables
96,Smoked paprika,Spices
97,Spinach,Spices
98,Star anise,Spices
99,Sundried tomato,Vegetables
100,Tahin,Other
101,Vegetable stock,Other
102,Walnut,Nut
103,Watercress,Vegetables
104,White wine,Alcohol
