Rank,Savory,Category,Sweet,Category
1,Garlic,Herbs,Cinnamon,Spices
2,Olive oil,Oils,Vanilla,Herbs
3,Parmesan,Dairy,Blueberry,Berries
4,Onion,Vegetables,Buttermilk,Dairy
5,Spinach,Spices,Cream,Dairy
6,Pepper,Spices,Dark chocolate,Other
7,Tomato,Vegetables,Honey,Sugars
8,Chili,Herbs,Lemon,Fruits
9,Nutmeg,Spices,Mascarpone,Cheeses
10,Basil,Herbs,Nutmeg,Spices
11,Carrot,Other,Walnut,Nut
12,Lemon,Fruits,White wine,Alcohol
13,Mascarpone,Cheeses,,
14,Parsley,Herbs,,
15,Red onion,Vegetables,,
16,White wine,Alcohol,,
17,Bay leaf,Herbs,,
18,Celery,Vegetables,,
19,Cinnamon,Spices,,
20,Dill,Herbs,,
21,Fennel,Vegetables,,
22,Fennel seed,Spices,,
23,Mozzarella,Cheeses,,
24,Mushroom,Vegetables,,
25,Pine nut,Nut,,
26,Potato,Vegetables,,
27,Red wine,Alcohol,,
28,Shallot,Vegetables,,
29,Spring onion,Vegetables,,
30,Vegetable stock,Other,,
31,Almond,Nut,,
32,Apple cider vinegar,Vinegars,,
33,Arugula,Vegetables,,
34,Bacon,Meats,,
35,Beef,Meats,,
36,Bell pepper,Vegetables,,
37,Butternut squash,Vegetables,,
38,Chicken,Meats,,
39,Chicken stock,Other,,
40,Cloves,Spices,,
41,Cream,Dairy,,
42,Creme fraiche,Dairy,,
43,Egg plant,Vegetables,,
44,Feta,Cheeses,,
45,Flatleaf Parsley,Herbs,,
46,Ginger,Herbs,,
47,Hazelnut,Nut,,
48,Leek,Vegetables,,
49,Maple syrup,Sugars,,
50,Mint,Herbs,,
51,Oragano,Herbs,,
52,Pasta,Other,,
53,Pea,Vegetables,,
54,Peach,Fruits,,
55,Rosemary,Herbs,,
56,Sage,Herbs,,
57,Smoked salmon,Meats,,
58,Timian,Herbs,,
59,Vanilla,Herbs,,
60,Yoghurt,Dairy,,
61,Zucchini,Vegetables,,
