Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lemon,Fruits,Garlic,Herbs,Lemon,Fruits
2,Lime,Fruits,Olive oil,Oils,Vanilla,Herbs
3,Gin,Alcohol,Pepper,Spices,Apple,Fruits
4,Grapefruit,Fruits,Onion,Vegetables,Almond,Nut
5,Honey,Sugars,Timian,Herbs,Carrot,Other
6,Orange,Fruits,Carrot,Other,Cream cheese,Cheeses
7,Dry vermouth,Alcohol,Lemon,Fruits,Lime,Fruits
8,Orange bitter,Alcohol,Potato,Vegetables,Orange,Fruits
9,Tequila,Alcohol,Tomato,Vegetables,Walnut,Nut
10,Vodka,Alcohol,Bay leaf,Herbs,Apricot,Fruits
11,Agave nectar,Sugars,Celery,Vegetables,Bergamot,Fruits
12,Amaretto,Alcohol,Parmesan,Dairy,Blackberry,Berries
13,Angostura,Alcohol,Parsley,Herbs,Champagne,Alcohol
14,Bergamot,Fruits,Red onion,Vegetables,Chicken stock,Other
15,Campari,Alcohol,Red wine,Alcohol,Cinnamon,Spices
16,Cointreau,Liqueurs,Apple,Fruits,Cloves,Spices
17,Cranberry,Berries,Arugula,Vegetables,Cocoa,Other
18,Ginger,Herbs,Bacon,Meats,Cream,Dairy
19,Ginger beer,Beverages,Basil,Herbs,Dark chocolate,Other
20,Mezcal,Alcohol,Chicken,Meats,Elderflower,Herbs
21,Nutmeg,Spices,Chicken stock,Other,Ginger,Herbs
22,Pomegranate,Fruits,Chili,Herbs,Honey,Sugars
23,Raspberry,Berries,Cinnamon,Spices,Marshmallow,Candy
24,Sweet vermouth,Alcohol,Creme fraiche,Dairy,Marzipan,Other
25,,,Hazelnut,Nut,Mascarpone,Cheeses
26,,,Honey,Sugars,Passionfruit,Fruits
27,,,Leek,Vegetables,Peach,Fruits
28,,,Mushroom,Vegetables,Pear,Fruits
29,,,Mustard,Condiments,Pepper,Spices
30,,,Nutmeg,Spices,Pistachio,Nut
31,,,Orange,Fruits,White chocolate,Other
32,,,Paprika,Spices,White wine,Alcohol
33,,,Pine nut,Nut,,
34,,,Sage,Herbs,,
35,,,Smoked paprika,Spices,,
36,,,White wine,Alcohol,,
37,,,White wine vinegar,Vinegars,,
38,,,Allspice,Spices,,
39,,,Almond,Nut,,
40,,,Apple cider,Alcohol,,
41,,,Apple cider vinegar,Vinegars,,
42,,,Balsamic vinegar,Vinegars,,
43,,,Beef,Meats,,
44,,,Beef stock,Other,,
45,,,Beetroot,Vegetables,,
46,,,Bell pepper,Vegetables,,
47,,,Bergamot,Fruits,,
48,,,Brocolli,Vegetables,,
49,,,Buttermilk,Dairy,,
50,,,Capers,Other,,
51,,,Cardamom,Spices,,
52,,,Celeriac,Vegetables,,
53,,,Cheddar,Cheeses,,
54,,,Chive,Herbs,,
55,,,Chorizo,Meats,,
56,,,Cilantro,Herbs,,
57,,,Cloves,Spices,,
58,,,Cognac,Alcohol,,
59,,,Courgette,Vegetables,,
60,,,Cranberry,Berries,,
61,,,Cream,Dairy,,
62,,,Cucumber,Vegetables,,
63,,,Cumin,Spices,,
64,,,Curry,Spices,,
65,,,Dill,Herbs,,
66,,,Egg plant,Vegetables,,
67,,,Fennel,Vegetables,,
68,,,Fennel seed,Spices,,
69,,,Feta,Cheeses,,
70,,,Flatleaf Parsley,Herbs,,
71,,,Ginger,Herbs,,
72,,,Jamón,Meats,,
73,,,Kale,Vegetables,,
74,,,Ketchup,Condiments,,
75,,,Lemongrass,Herbs,,
76,,,Lime,Fruits,,
77,,,Maple syrup,Sugars,,
78,,,Mascarpone,Cheeses,,
79,,,Mayonnaise,Condiments,,
80,,,Mint,Herbs,,
81,,,Mozzarella,Cheeses,,
82,,,Oragano,Herbs,,
83,,,Parsley root,Vegetables,,
84,,,Pasta,Other,,
85,,,Pear,Fruits,,
86,,,Pickling vinegar,Vinegars,,
87,,,Pointed cabbage,Vegetables,,
88,,,Pomegranate,Fruits,,
89,,,Pork,Meats,,
90,,,Prune,Fruits,,
91,,,Pumpkin,Vegetables,,
92,,,Pumpkin seed,Seeds,,
93,,,Red cabbage,Vegetables,,
94,,,Rice,Other,,
95,,,Ricotta,Cheeses,,
96,,,Rye bread,Other,,
97,,,Saffron,Herbs,,
98,,,Sesame seed,Seeds,,
99,,,Shallot,Vegetables,,
100,,,Sourdough,Other,,
101,,,Soy,Other,,
102,,,Spinach,Spices,,
103,,,Spring onion,Vegetables,,
104,,,Sundried tomato,Vegetables,,
105,,,Tarragon,Herbs,,
106,,,Turmeric,Spices,,
107,,,Vegetable stock,Other,,
108,,,Vodka,Alcohol,,
109,,,Walnut,Nut,,
110,,,Worcestershire sauce,Condiments,,
111,,,Yoghurt,Dairy,,
112,,,Zucchini,Vegetables,,
