Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lemon,Fruits,Garlic,Herbs,Vanilla,Herbs
2,Gin,Alcohol,Lime,Fruits,Lemon,Fruits
3,Vodka,Alcohol,Olive oil,Oils,Almond,Nut
4,Cinnamon,Spices,Pepper,Spices,Dark chocolate,Other
5,Tequila,Alcohol,,,White chocolate,Other
6,Amaretto,Alcohol,,,Cinnamon,Spices
7,Blue curaçao,Alcohol,,,Coconut,Nut
8,Cointreau,Liqueurs,,,Lime,Fruits
9,Lime,Fruits,,,Marzipan,Other
10,Beer,Alcohol,,,Cocoa,Other
11,Nutmeg,Spices,,,Hazelnut,Nut
12,Orange,Fruits,,,Orange,Fruits
13,Agave nectar,Sugars,,,Raisin,Fruits
14,Cardamom,Spices,,,Strawberry,Berries
15,Cherry,Berries,,,Apple,Fruits
16,Cloves,Spices,,,Banana,Fruits
17,Cream,Dairy,,,Buttermilk,Dairy
18,Ginger,Herbs,,,Cloves,Spices
19,Honey,Sugars,,,Creme fraiche,Dairy
20,Mint,Herbs,,,Honey,Sugars
21,Pineapple,Fruits,,,Marshmallow,Candy
22,Star anise,Spices,,,Mint,Herbs
23,Strawberry,Berries,,,Pineapple,Fruits
24,Vanilla,Herbs,,,Pistachio,Nut
25,White wine,Alcohol,,,Apple cider vinegar,Vinegars
26,,,,,Apricot,Fruits
27,,,,,Avocado,Vegetables
28,,,,,Blueberry,Berries
29,,,,,Cardamom,Spices
30,,,,,Cherry,Berries
31,,,,,Condensed milk,Dairy
32,,,,,Currant,Berries
33,,,,,Date,Fruits
34,,,,,Ginger,Herbs
35,,,,,Kiwi,Berries
36,,,,,Lemon balm,Herbs
37,,,,,Lemongrass,Herbs
38,,,,,Licorice,Candy
39,,,,,Mango,Fruits
40,,,,,Mascarpone,Cheeses
41,,,,,Milk chocolate,Other
42,,,,,Passionfruit,Fruits
43,,,,,Pear,Fruits
44,,,,,Pecan,Nut
45,,,,,Prune,Fruits
46,,,,,Raspberry,Berries
47,,,,,Rhubarb,Fruits
48,,,,,Sea buckthorn,Berries
