Rank,Savory,Category,Sweet,Category
1,Pepper,Spices,Hazelnut,Nut
2,Lemon,Fruits,Lemon,Fruits
3,Mustard,Condiments,Almond,Nut
4,Onion,Vegetables,Apricot,Fruits
5,Chive,Herbs,Avocado,Vegetables
6,Honey,Sugars,Chia seed,Seeds
7,Apple,Fruits,Cocoa,Other
8,Bay leaf,Herbs,Flaxseed,Seeds
9,Dill,Herbs,Marzipan,Other
10,Garlic,Herbs,Mascarpone,Cheeses
11,Olive oil,Oils,Pumpkin seed,Seeds
12,Parsley,Herbs,Sesame seed,Seeds
13,Bacon,Meats,Vanilla,Herbs
14,Capers,Other,White chocolate,Other
15,Carrot,Other,,
16,Creme fraiche,Dairy,,
17,Cucumber,Vegetables,,
18,Pickling vinegar,Vinegars,,
19,Pointed cabbage,Vegetables,,
20,Potato,Vegetables,,
21,Red onion,Vegetables,,
22,Timian,Herbs,,
23,Tomato,Vegetables,,
24,Almond,Nut,,
25,Apple cider vinegar,Vinegars,,
26,Apple vinegar,Vinegars,,
27,Arugula,Vegetables,,
28,Asparagus,Vegetables,,
29,Avocado,Vegetables,,
30,Banana,Fruits,,
31,Basil,Herbs,,
32,Bell pepper,Vegetables,,
33,Brocolli,Vegetables,,
34,Cardamom,Spices,,
35,Cauliflower,Vegetables,,
36,Celeriac,Vegetables,,
37,Celery,Vegetables,,
38,Chicken,Meats,,
39,Chili,Herbs,,
40,Cinnamon,Spices,,
41,Cloves,Spices,,
42,Cream cheese,Cheeses,,
43,Curry,Spices,,
44,Fennel,Vegetables,,
45,Ginger,Herbs,,
46,Goat cheese,Cheeses,,
47,Hazelnut,Nut,,
48,Jamón,Meats,,
49,Kale,Vegetables,,
50,Ketchup,Condiments,,
51,Leek,Vegetables,,
52,Mayonnaise,Condiments,,
53,Mint,Herbs,,
54,Mozzarella,Cheeses,,
55,Mushroom,Vegetables,,
56,Orange,Fruits,,
57,Parmesan,Dairy,,
58,Parsley root,Vegetables,,
59,Pork,Meats,,
60,Rhubarb,Fruits,,
61,Rosemary,Herbs,,
62,Salad,Other,,
63,Smoked paprika,Spices,,
64,Spinach,Spices,,
65,Star anise,Spices,,
66,Strawberry,Berries,,
67,Tarragon,Herbs,,
68,White wine vinegar,Vinegars,,
69,Zucchini,Vegetables,,
