Rank,Cocktail,Category
1,Lemon,Fruits
2,Angostura,Alcohol
3,Sweet vermouth,Alcohol
4,Cherry,Berries
5,Orange,Fruits
6,Peychaud's Bitters,Alcohol
7,Absinthe,Alcohol
8,Averna Amaro,Alcohol
9,Bénédictine,Alcohol
10,Calvados,Alcohol
11,Cognac,Alcohol
12,Green chartreuse,Alcohol
13,Grenadine,Beverages
14,Maraschino liqueur,Alcohol
15,Mint,Herbs
16,Beer,Alcohol
17,Bourbon,Alcohol
18,Campari,Alcohol
19,Cinnamon,Spices
20,Cointreau,Liqueurs
21,Dark rum,Alcohol
22,Dry vermouth,Alcohol
23,Fernet Branca,Alcohol
24,Lime,Fruits
25,Orange bitter,Alcohol
26,Orgeat syrup,Other
