Rank,Savory,Category,Sweet,Category
1,Onion,Vegetables,Vanilla,Herbs
2,Garlic,Herbs,Dark chocolate,Other
3,Olive oil,Oils,Lemon,Fruits
4,Carrot,Other,Marzipan,Other
5,Parsley,Herbs,Almond,Nut
6,Pepper,Spices,Hazelnut,Nut
7,Leek,Vegetables,Honey,Sugars
8,Tomato,Vegetables,Blackberry,Berries
9,Celery,Vegetables,Blueberry,Berries
10,Cilantro,Herbs,Cloves,Spices
11,Cinnamon,Spices,Grand Marnier,Alcohol
12,Lemon,Fruits,Lime,Fruits
13,Parmesan,Dairy,Mango,Fruits
14,Raisin,Fruits,Orange,Fruits
15,White wine,Alcohol,Rosewater,Other
16,Bay leaf,Herbs,Walnut,Nut
17,Fennel,Vegetables,,
18,Marzipan,Other,,
19,Timian,Herbs,,
20,Turmeric,Spices,,
21,Almond,Nut,,
22,Apricot,Fruits,,
23,Bell pepper,Vegetables,,
24,Brocolli,Vegetables,,
25,Chicken stock,Other,,
26,Chick pea,Vegetables,,
27,Chili,Herbs,,
28,Cloves,Spices,,
29,Coconut,Nut,,
30,Cognac,Alcohol,,
31,Cucumber,Vegetables,,
32,Cumin,Spices,,
33,Date,Fruits,,
34,Dill,Herbs,,
35,Ginger,Herbs,,
36,Hazelnut,Nut,,
37,Honey,Sugars,,
38,Mascarpone,Cheeses,,
39,Mint,Herbs,,
40,Nutmeg,Spices,,
41,Paprika,Spices,,
42,Parsley root,Vegetables,,
43,Pomegranate,Fruits,,
44,Potato,Vegetables,,
45,Red onion,Vegetables,,
46,Rice,Other,,
47,Rosemary,Herbs,,
48,Salad,Other,,
49,Tarragon,Herbs,,
50,Vanilla,Herbs,,
