Rank,Savory,Category
1,Garlic,Herbs
2,Pepper,Spices
3,Olive oil,Oils
4,Tomato,Vegetables
5,Onion,Vegetables
6,Avocado,Vegetables
7,Cilantro,Herbs
8,Cumin,Spices
9,Bean sprout,Vegetables
10,Beef,Meats
11,Bread,Other
12,Carrot,Other
13,Cheddar,Cheeses
14,Chili,Herbs
15,Chive,Herbs
16,Cloves,Spices
17,Creme fraiche,Dairy
18,Cucumber,Vegetables
19,Honey,Sugars
20,Lemon,Fruits
21,Lime,Fruits
22,Mozzarella,Cheeses
23,Potato,Vegetables
24,Red onion,Vegetables
25,Turmeric,Spices
26,Almond,Nut
27,Apricot,Fruits
28,Basil,Herbs
29,Bean,Vegetables
30,Bell pepper,Vegetables
31,Capers,Other
32,Cardamom,Spices
33,Cauliflower,Vegetables
34,Cayenne pepper,Spices
35,Chicken,Meats
36,Chick pea,Vegetables
37,Chorizo,Meats
38,Cinnamon,Spices
39,Coconut,Nut
40,Corn,Vegetables
41,Cream cheese,Cheeses
42,Curry,Spices
43,Date,Fruits
44,Dill,Herbs
45,Egg plant,Vegetables
46,Garam masala,Spices
47,Ginger,Herbs
48,Ketchup,Condiments
49,Leek,Vegetables
50,Mint,Herbs
51,Mushroom,Vegetables
52,Mustard,Condiments
53,Paprika,Spices
54,Parmesan,Dairy
55,Pointed cabbage,Vegetables
56,Rice,Other
57,Rye bread,Other
58,Saffron,Herbs
59,Smoked paprika,Spices
60,Soy,Other
61,Spinach,Spices
62,Spring onion,Vegetables
63,Tarragon,Herbs
64,Timian,Herbs
65,Yoghurt,Dairy
