Rank,Savory,Category
1,Pepper,Spices
2,Lemon,Fruits
3,Garlic,Herbs
4,Dill,Herbs
5,Olive oil,Oils
6,Lime,Fruits
7,Onion,Vegetables
8,Red onion,Vegetables
9,Sesame seed,Seeds
10,Apple,Fruits
11,Avocado,Vegetables
12,Basil,Herbs
13,Capers,Other
14,Carrot,Other
15,Cilantro,Herbs
16,Creme fraiche,Dairy
17,Cucumber,Vegetables
18,Mustard,Condiments
19,Nutmeg,Spices
20,Parmesan,Dairy
21,Spinach,Spices
22,Yoghurt,Dairy
23,Allspice,Spices
24,Almond,Nut
25,Apple cider vinegar,Vinegars
26,Arugula,Vegetables
27,Bay leaf,Herbs
28,Bell pepper,Vegetables
29,Cauliflower,Vegetables
30,Celery,Vegetables
31,Chili,Herbs
32,Chive,Herbs
33,Cream cheese,Cheeses
34,Curry,Spices
35,Edamame,Vegetables
36,Fennel,Vegetables
37,Flaxseed,Seeds
38,Ginger,Herbs
39,Honey,Sugars
40,Leek,Vegetables
41,Mango,Fruits
42,Mascarpone,Cheeses
43,Mayonnaise,Condiments
44,Mint,Herbs
45,Mozzarella,Cheeses
46,Oragano,Herbs
47,Parsley,Herbs
48,Pasta,Other
49,Pear,Fruits
50,Pine nut,Nut
51,Pistachio,Nut
52,Pointed cabbage,Vegetables
53,Potato,Vegetables
54,Raisin,Fruits
55,Rice,Other
56,Soy,Other
57,Spring onion,Vegetables
58,Timian,Herbs
59,Tomato,Vegetables
60,White wine,Alcohol
61,White wine vinegar,Vinegars
62,Zucchini,Vegetables
