Rank,Cocktail,Category,Savory,Category
1,Honey,Sugars,Lemon,Fruits
2,Cardamom,Spices,Allspice,Spices
3,Cinnamon,Spices,Cardamom,Spices
4,Cloves,Spices,Cinnamon,Spices
5,Licorice,Candy,Cloves,Spices
6,Lime,Fruits,Dark rum,Alcohol
7,Mint,Herbs,Garlic,Herbs
8,Orange,Fruits,Ginger,Herbs
9,Pomegranate,Fruits,Leek,Vegetables
10,Star anise,Spices,Licorice,Candy
11,Vanilla,Herbs,Nutmeg,Spices
12,,,Onion,Vegetables
13,,,Orange,Fruits
14,,,Parsley,Herbs
15,,,Pepper,Spices
16,,,Portwine,Alcohol
17,,,Potato,Vegetables
18,,,Star anise,Spices
19,,,Timian,Herbs
20,,,Vanilla,Herbs
