Rank,Savory,Category,Sweet,Category
1,Olive oil,Oils,Vanilla,Herbs
2,Bay leaf,Herbs,Lemon,Fruits
3,Cashew,Nut,White chocolate,Other
4,Fennel,Vegetables,Almond,Nut
5,Mushroom,Vegetables,Dark chocolate,Other
6,Onion,Vegetables,Orange,Fruits
7,Pointed cabbage,Vegetables,Honey,Sugars
8,Potato,Vegetables,Marzipan,Other
9,Raspberry,Berries,Marshmallow,Candy
10,Timian,Herbs,Apple,Fruits
11,Yoghurt,Dairy,Buttermilk,Dairy
12,,,Coffee,Beverages
13,,,Creme fraiche,Dairy
14,,,Milk chocolate,Other
15,,,Apricot,Fruits
16,,,Carrot,Other
17,,,Cinnamon,Spices
18,,,Cocoa,Other
19,,,Condensed milk,Dairy
20,,,Cream cheese,Cheeses
21,,,Elderflower,Herbs
22,,,Ginger,Herbs
23,,,Hazelnut,Nut
24,,,Licorice,Candy
25,,,Mango,Fruits
26,,,Mascarpone,Cheeses
27,,,Mint,Herbs
28,,,Peanit,Nut
29,,,Pecan,Nut
30,,,Pistachio,Nut
31,,,Prune,Fruits
32,,,Raspberry,Berries
33,,,Rum,Alcohol
34,,,Ladyfingers,Other
35,,,Star anise,Spices
36,,,Walnut,Nut
37,,,Yoghurt,Dairy
