Rank,Savory,Category,Sweet,Category
1,Garlic,Herbs,Garlic,Herbs
2,Soy,Other,Honey,Sugars
3,Honey,Sugars,Pea,Vegetables
4,Spring onion,Vegetables,Pineapple,Fruits
5,Ginger,Herbs,Soy,Other
6,Sesame seed,Seeds,,
7,Carrot,Other,,
8,Olive oil,Oils,,
9,Pepper,Spices,,
10,Chili,Herbs,,
11,Pea,Vegetables,,
12,Cucumber,Vegetables,,
13,Onion,Vegetables,,
14,Avocado,Vegetables,,
15,Bell pepper,Vegetables,,
16,Chicken stock,Other,,
17,Coriander seed,Other,,
18,Fish sauce,Other,,
19,Ketchup,Condiments,,
20,Lime,Fruits,,
21,Mustard,Condiments,,
22,Parsley,Herbs,,
23,Pineapple,Fruits,,
24,Shallot,Vegetables,,
