Rank,Savory,Category,Sweet,Category
1,Garlic,Herbs,Almond,Nut
2,Olive oil,Oils,Vanilla,Herbs
3,Pepper,Spices,Flaxseed,Seeds
4,Ginger,Herbs,Cinnamon,Spices
5,Honey,Sugars,Honey,Sugars
6,Soy,Other,Cream cheese,Cheeses
7,Chili,Herbs,Hazelnut,Nut
8,Cilantro,Herbs,Lemon,Fruits
9,Cumin,Spices,Maple syrup,Sugars
10,Lemon,Fruits,Marzipan,Other
11,Lime,Fruits,Olive oil,Oils
12,Spring onion,Vegetables,Pepper,Spices
13,Carrot,Other,Strawberry,Berries
14,Cucumber,Vegetables,White chocolate,Other
15,Onion,Vegetables,Apple,Fruits
16,Red onion,Vegetables,Baileys,Alcohol
17,Almond,Nut,Cardamom,Spices
18,Apple cider vinegar,Vinegars,Carrot,Other
19,Arugula,Vegetables,Chia seed,Seeds
20,Avocado,Vegetables,Chili,Herbs
21,Bacon,Meats,Cocoa,Other
22,Basil,Herbs,Condensed milk,Dairy
23,Beef,Meats,Coriander seed,Other
24,Bell pepper,Vegetables,Courgette,Vegetables
25,Brocolli,Vegetables,Cranberry,Berries
26,Cardamom,Spices,Cream,Dairy
27,Cheddar,Cheeses,Creme fraiche,Dairy
28,Chicken,Meats,Date,Fruits
29,Cinnamon,Spices,Fennel,Vegetables
30,Coriander seed,Other,Fish sauce,Other
31,Dill,Herbs,Garlic,Herbs
32,Edamame,Vegetables,Lime,Fruits
33,Fish sauce,Other,Milk chocolate,Other
34,Flaxseed,Seeds,Mint,Herbs
35,Hazelnut,Nut,Orange,Fruits
36,Ketchup,Condiments,Peach,Fruits
37,Mayonnaise,Condiments,Pumpkin seed,Seeds
38,Mustard,Condiments,Rhubarb,Fruits
39,Parsley,Herbs,Rye bread,Other
40,Pine nut,Nut,Timian,Herbs
41,Potato,Vegetables,Walnut,Nut
42,Pumpkin seed,Seeds,Yoghurt,Dairy
43,Rosemary,Herbs,,
44,Salmon,Meats,,
45,Sesame oil,Oils,,
46,Tahin,Other,,
47,Timian,Herbs,,
48,Tomato,Vegetables,,
49,Yoghurt,Dairy,,
50,Apple,Fruits,,
51,Banana,Fruits,,
52,Bay leaf,Herbs,,
53,Beetroot,Vegetables,,
54,Caraway,Spices,,
55,Cashew,Nut,,
56,Celeriac,Vegetables,,
57,Celery,Vegetables,,
58,Chicken stock,Other,,
59,Chick pea,Vegetables,,
60,Cloves,Spices,,
61,Coconut,Nut,,
62,Coconut sugar,Sugars,,
63,Cognac,Alcohol,,
64,Cranberry,Berries,,
65,Cream,Dairy,,
66,Cream cheese,Cheeses,,
67,Creme fraiche,Dairy,,
68,Date,Fruits,,
69,Egg plant,Vegetables,,
70,Fennel,Vegetables,,
71,Flatleaf Parsley,Herbs,,
72,Jamón,Meats,,
73,Kale,Vegetables,,
74,Leek,Vegetables,,
75,Lemongrass,Herbs,,
76,Mango,Fruits,,
77,Maple syrup,Sugars,,
78,Mint,Herbs,,
79,Mozzarella,Cheeses,,
80,Mushroom,Vegetables,,
81,Nutmeg,Spices,,
82,Orange,Fruits,,
83,Paprika,Spices,,
84,Parmesan,Dairy,,
85,Parsley root,Vegetables,,
86,Pickling vinegar,Vinegars,,
87,Plum,Berries,,
88,Pointed cabbage,Vegetables,,
89,Rice,Other,,
90,Shallot,Vegetables,,
91,Smoked paprika,Spices,,
92,Spinach,Spices,,
93,Turmeric,Spices,,
94,Vanilla,Herbs,,
95,Vegetable stock,Other,,
96,Watermelon,Fruits,,
97,Worcestershire sauce,Condiments,,
98,Zucchini,Vegetables,,
