Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lemon,Fruits,Garlic,Herbs,Garlic,Herbs
2,Pepper,Spices,Olive oil,Oils,Lemon,Fruits
3,,,Chili,Herbs,Olive oil,Oils
4,,,Cream,Dairy,Mayonnaise,Condiments
5,,,White wine,Alcohol,Carrot,Other
6,,,Bay leaf,Herbs,Cilantro,Herbs
7,,,Carrot,Other,Cinnamon,Spices
8,,,Chicken stock,Other,Coconut,Nut
9,,,Cilantro,Herbs,Creme fraiche,Dairy
10,,,Flatleaf Parsley,Herbs,Cumin,Spices
11,,,Ginger,Herbs,Dill,Herbs
12,,,Lemon,Fruits,Fish sauce,Other
13,,,Parmesan,Dairy,Ginger,Herbs
14,,,Parsley,Herbs,Lime,Fruits
15,,,Pepper,Spices,Maple syrup,Sugars
16,,,Potato,Vegetables,Mustard,Condiments
17,,,Timian,Herbs,Nutmeg,Spices
18,,,Tomato,Vegetables,Onion,Vegetables
19,,,Yoghurt,Dairy,Peanit,Nut
20,,,Balsamic vinegar,Vinegars,Tabasco,Condiments
21,,,Capers,Other,Tomato,Vegetables
22,,,Celery,Vegetables,Turmeric,Spices
23,,,Cinnamon,Spices,Walnut,Nut
24,,,Coconut,Nut,White wine vinegar,Vinegars
25,,,Creme fraiche,Dairy,,
26,,,Cucumber,Vegetables,,
27,,,Cumin,Spices,,
28,,,Fennel seed,Spices,,
29,,,Fish sauce,Other,,
30,,,Honey,Sugars,,
31,,,Leek,Vegetables,,
32,,,Lime,Fruits,,
33,,,Mushroom,Vegetables,,
34,,,Mustard,Condiments,,
35,,,Onion,Vegetables,,
36,,,Pea,Vegetables,,
37,,,Pine nut,Nut,,
38,,,Red wine,Alcohol,,
39,,,Rosemary,Herbs,,
40,,,Sage,Herbs,,
41,,,Soy,Other,,
42,,,Spinach,Spices,,
43,,,Spring onion,Vegetables,,
44,,,Sweet potato,Vegetables,,
45,,,Tahin,Other,,
46,,,Turmeric,Spices,,
47,,,Agave nectar,Sugars,,
48,,,Anchovy,Meats,,
49,,,Apple cider,Alcohol,,
50,,,Arugula,Vegetables,,
51,,,Avocado,Vegetables,,
52,,,Basil,Herbs,,
53,,,Beef stock,Other,,
54,,,Bell pepper,Vegetables,,
55,,,Brandy,Alcohol,,
56,,,Brocolli,Vegetables,,
57,,,Buttermilk,Dairy,,
58,,,Butternut squash,Vegetables,,
59,,,Cauliflower,Vegetables,,
60,,,Cayenne pepper,Spices,,
61,,,Cheddar,Cheeses,,
62,,,Chick pea,Vegetables,,
63,,,Chorizo,Meats,,
64,,,Couscous,Other,,
65,,,Cream cheese,Cheeses,,
66,,,Dill,Herbs,,
67,,,Egg plant,Vegetables,,
68,,,Fennel,Vegetables,,
69,,,Feta,Cheeses,,
70,,,Garam masala,Spices,,
71,,,Hazelnut,Nut,,
72,,,Kale,Vegetables,,
73,,,Ketchup,Condiments,,
74,,,Maple syrup,Sugars,,
75,,,Mayonnaise,Condiments,,
76,,,Mint,Herbs,,
77,,,Nutmeg,Spices,,
78,,,Orange,Fruits,,
79,,,Oragano,Herbs,,
80,,,Paprika,Spices,,
81,,,Pecan,Nut,,
82,,,Raisin,Fruits,,
83,,,Rapeseed oil,Oils,,
84,,,Red onion,Vegetables,,
85,,,Rice,Other,,
86,,,Ricotta,Cheeses,,
87,,,Sesame oil,Oils,,
88,,,Sesame seed,Seeds,,
89,,,Smoked paprika,Spices,,
90,,,Star anise,Spices,,
91,,,Vegetable stock,Other,,
92,,,Vodka,Alcohol,,
93,,,Walnut,Nut,,
94,,,Watercress,Vegetables,,
95,,,White wine vinegar,Vinegars,,
96,,,Worcestershire sauce,Condiments,,
