Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lime,Fruits,Garlic,Herbs,Pepper,Spices
2,Tomato,Vegetables,Olive oil,Oils,Soy,Other
3,Celery,Vegetables,Pepper,Spices,Chili,Herbs
4,Lemon,Fruits,Onion,Vegetables,Garlic,Herbs
5,Pepper,Spices,Tomato,Vegetables,Onion,Vegetables
6,Tabasco,Condiments,Cumin,Spices,Bacon,Meats
7,Vodka,Alcohol,Chili,Herbs,Balsamic vinegar,Vinegars
8,Worcestershire sauce,Condiments,Cilantro,Herbs,Bourbon,Alcohol
9,Coffee,Beverages,Avocado,Vegetables,Chicken stock,Other
10,Grapefruit,Fruits,Bell pepper,Vegetables,Cream cheese,Cheeses
11,Orange,Fruits,Carrot,Other,Ginger,Herbs
12,,,Cayenne pepper,Spices,Honey,Sugars
13,,,Cheddar,Cheeses,Ketchup,Condiments
14,,,Creme fraiche,Dairy,Lime,Fruits
15,,,Lemon,Fruits,Maple syrup,Sugars
16,,,Paprika,Spices,Olive oil,Oils
17,,,Parsley,Herbs,Oragano,Herbs
18,,,Red onion,Vegetables,Parsley,Herbs
19,,,Zucchini,Vegetables,Peanut butter,Nut
20,,,Apple cider vinegar,Vinegars,Pecan,Nut
21,,,Bacon,Meats,,
22,,,Balsamic vinegar,Vinegars,,
23,,,Bay leaf,Herbs,,
24,,,Bean,Vegetables,,
25,,,Beef,Meats,,
26,,,Celery,Vegetables,,
27,,,Chicken,Meats,,
28,,,Cinnamon,Spices,,
29,,,Corn,Vegetables,,
30,,,Cucumber,Vegetables,,
31,,,Flatleaf Parsley,Herbs,,
32,,,Ginger,Herbs,,
33,,,Lime,Fruits,,
34,,,Mayonnaise,Condiments,,
35,,,Mint,Herbs,,
36,,,Mushroom,Vegetables,,
37,,,Mustard,Condiments,,
38,,,Oragano,Herbs,,
39,,,Potato,Vegetables,,
40,,,Rosemary,Herbs,,
41,,,Soy,Other,,
42,,,Spring onion,Vegetables,,
43,,,Sundried tomato,Vegetables,,
44,,,Timian,Herbs,,
45,,,Worcestershire sauce,Condiments,,
46,,,Allspice,Spices,,
47,,,Almond,Nut,,
48,,,Apple,Fruits,,
49,,,Apple vinegar,Vinegars,,
50,,,Apricot,Fruits,,
51,,,Arugula,Vegetables,,
52,,,Asparagus,Vegetables,,
53,,,Basil,Herbs,,
54,,,Beer,Alcohol,,
55,,,Beetroot,Vegetables,,
56,,,Brandy,Alcohol,,
57,,,Bread,Other,,
58,,,Brocolli,Vegetables,,
59,,,Buttermilk,Dairy,,
60,,,Capers,Other,,
61,,,Cardamom,Spices,,
62,,,Cherry,Berries,,
63,,,Chicken stock,Other,,
64,,,Chick pea,Vegetables,,
65,,,Chive,Herbs,,
66,,,Chorizo,Meats,,
67,,,Cloves,Spices,,
68,,,Cocoa,Other,,
69,,,Coconut,Nut,,
70,,,Cognac,Alcohol,,
71,,,Coriander seed,Other,,
72,,,Courgette,Vegetables,,
73,,,Couscous,Other,,
74,,,Cream,Dairy,,
75,,,Curry,Spices,,
76,,,Dark chocolate,Other,,
77,,,Dill,Herbs,,
78,,,Egg plant,Vegetables,,
79,,,Fennel,Vegetables,,
80,,,Fennel seed,Spices,,
81,,,Feta,Cheeses,,
82,,,Fish sauce,Other,,
83,,,Garam masala,Spices,,
84,,,Hazelnut,Nut,,
85,,,Honey,Sugars,,
86,,,Kale,Vegetables,,
87,,,Ketchup,Condiments,,
88,,,Leek,Vegetables,,
89,,,Lemongrass,Herbs,,
90,,,Mango,Fruits,,
91,,,Maple syrup,Sugars,,
92,,,Mozzarella,Cheeses,,
93,,,Noodle,Other,,
94,,,Nutmeg,Spices,,
95,,,Parmesan,Dairy,,
96,,,Pasta,Other,,
97,,,Pea,Vegetables,,
98,,,Peanit,Nut,,
99,,,Peanut butter,Nut,,
100,,,Pecan,Nut,,
101,,,Pine nut,Nut,,
102,,,Pineapple,Fruits,,
103,,,Plum,Berries,,
104,,,Pointed cabbage,Vegetables,,
105,,,Pork,Meats,,
106,,,Pumpkin seed,Seeds,,
107,,,Raisin,Fruits,,
108,,,Rapeseed oil,Oils,,
109,,,Red wine,Alcohol,,
110,,,Rice,Other,,
111,,,Rye bread,Other,,
112,,,Salad,Other,,
113,,,Sesame seed,Seeds,,
114,,,Shallot,Vegetables,,
115,,,Spinach,Spices,,
116,,,Sweet potato,Vegetables,,
117,,,Tahin,Other,,
118,,,Turmeric,Spices,,
119,,,Vegetable stock,Other,,
120,,,Walnut,Nut,,
121,,,Watercress,Vegetables,,
122,,,White wine,Alcohol,,
123,,,White wine vinegar,Vinegars,,
124,,,Yoghurt,Dairy,,
