Rank,Savory,Category
1,Pepper,Spices
2,Dill,Herbs
3,Lemon,Fruits
4,Cream cheese,Cheeses
5,Creme fraiche,Dairy
6,Mustard,Condiments
7,Chive,Herbs
8,Red onion,Vegetables
9,Mayonnaise,Condiments
10,Parmesan,Dairy
11,Parsley,Herbs
12,Potato,Vegetables
13,Apple cider vinegar,Vinegars
14,Garlic,Herbs
15,Olive oil,Oils
16,Spinach,Spices
17,Asparagus,Vegetables
18,Avocado,Vegetables
19,Basil,Herbs
20,Capers,Other
21,Chili,Herbs
22,Cilantro,Herbs
23,Cocoa,Other
24,Cucumber,Vegetables
25,Edamame,Vegetables
26,Feta,Cheeses
27,Honey,Sugars
28,Mint,Herbs
29,Onion,Vegetables
30,Paprika,Spices
31,Pomegranate,Fruits
32,Ricotta,Cheeses
33,Soy,Other
34,Timian,Herbs
35,Tomato,Vegetables
36,Vanilla,Herbs
37,Walnut,Nut
38,White wine,Alcohol
