Rank,Savory,Category,Sweet,Category
1,Honey,Sugars,Flaxseed,Seeds
2,Buttermilk,Dairy,Honey,Sugars
3,Garlic,Herbs,Pumpkin seed,Seeds
4,Olive oil,Oils,,
5,Tomato,Vegetables,,
6,Basil,Herbs,,
7,Cinnamon,Spices,,
8,Flaxseed,Seeds,,
9,Pepper,Spices,,
10,Poppy seed,Seeds,,
11,Apple,Fruits,,
12,Apple cider vinegar,Vinegars,,
13,Bacon,Meats,,
14,Caraway,Spices,,
15,Cardamom,Spices,,
16,Carrot,Other,,
17,Chorizo,Meats,,
18,Creme fraiche,Dairy,,
19,Date,Fruits,,
20,Hazelnut,Nut,,
21,Leek,Vegetables,,
22,Lemon,Fruits,,
23,Milk chocolate,Other,,
24,Nutmeg,Spices,,
25,Onion,Vegetables,,
26,Parmesan,Dairy,,
27,Pine nut,Nut,,
28,Pumpkin seed,Seeds,,
29,Rosemary,Herbs,,
30,Timian,Herbs,,
31,Walnut,Nut,,
