Rank,Savory,Category,Sweet,Category
1,Garlic,Herbs,Honey,Sugars
2,Ginger,Herbs,Smoked paprika,Spices
3,Chili,Herbs,Garlic,Herbs
4,Spring onion,Vegetables,Ketchup,Condiments
5,Olive oil,Oils,Balsamic vinegar,Vinegars
6,Carrot,Other,Ginger,Herbs
7,Cilantro,Herbs,Lemon,Fruits
8,Fish sauce,Other,Onion,Vegetables
9,Honey,Sugars,Pepper,Spices
10,Lime,Fruits,Spring onion,Vegetables
11,Onion,Vegetables,Bacon,Meats
12,Pepper,Spices,Carrot,Other
13,Cucumber,Vegetables,Celery,Vegetables
14,Red onion,Vegetables,Chicken stock,Other
15,Rice,Other,Chili,Herbs
16,Sesame seed,Seeds,Cream,Dairy
17,Apple cider vinegar,Vinegars,Cream cheese,Cheeses
18,Avocado,Vegetables,Creme fraiche,Dairy
19,Bean sprout,Vegetables,Cucumber,Vegetables
20,Bell pepper,Vegetables,Dark chocolate,Other
21,Brocolli,Vegetables,Lime,Fruits
22,Cashew,Nut,Maple syrup,Sugars
23,Chicken,Meats,Mustard,Condiments
24,Chicken stock,Other,Olive oil,Oils
25,Cinnamon,Spices,Paprika,Spices
26,Coconut,Nut,Pea,Vegetables
27,Coconut sugar,Sugars,Peanit,Nut
28,Cumin,Spices,Peanut butter,Nut
29,Edamame,Vegetables,Pecan,Nut
30,Ketchup,Condiments,Sesame oil,Oils
31,Lemon,Fruits,Sweet potato,Vegetables
32,Maple syrup,Sugars,Tomato,Vegetables
33,Mint,Herbs,Worcestershire sauce,Condiments
34,Mushroom,Vegetables,,
35,Mustard,Condiments,,
36,Paprika,Spices,,
37,Peanit,Nut,,
38,Sesame oil,Oils,,
39,Shallot,Vegetables,,
40,Smoked paprika,Spices,,
41,Star anise,Spices,,
42,Timian,Herbs,,
43,Tomato,Vegetables,,
44,Worcestershire sauce,Condiments,,
45,Zucchini,Vegetables,,
46,Agave nectar,Sugars,,
47,Allspice,Spices,,
48,Almond,Nut,,
49,Apple,Fruits,,
50,Arugula,Vegetables,,
51,Bacon,Meats,,
52,Balsamic vinegar,Vinegars,,
53,Bay leaf,Herbs,,
54,Beef,Meats,,
55,Bread,Other,,
56,Butternut squash,Vegetables,,
57,Cauliflower,Vegetables,,
58,Cayenne pepper,Spices,,
59,Cheddar,Cheeses,,
60,Chick pea,Vegetables,,
61,Chive,Herbs,,
62,Cocoa,Other,,
63,Coriander seed,Other,,
64,Cream,Dairy,,
65,Cream cheese,Cheeses,,
66,Curry,Spices,,
67,Dill,Herbs,,
68,Egg plant,Vegetables,,
69,Fennel,Vegetables,,
70,Feta,Cheeses,,
71,Flatleaf Parsley,Herbs,,
72,Hazelnut,Nut,,
73,Leek,Vegetables,,
74,Lemongrass,Herbs,,
75,Mayonnaise,Condiments,,
76,Noodle,Other,,
77,Nutmeg,Spices,,
78,Orange,Fruits,,
79,Oragano,Herbs,,
80,Parmesan,Dairy,,
81,Parsley,Herbs,,
82,Pea,Vegetables,,
83,Peanut butter,Nut,,
84,Pine nut,Nut,,
85,Pineapple,Fruits,,
86,Pointed cabbage,Vegetables,,
87,Pomegranate,Fruits,,
88,Poppy seed,Seeds,,
89,Pork,Meats,,
90,Potato,Vegetables,,
91,Pumpkin seed,Seeds,,
92,Rapeseed oil,Oils,,
93,Red wine,Alcohol,,
94,Rosemary,Herbs,,
95,Salad,Other,,
96,Salmon,Meats,,
97,Smoked salmon,Meats,,
98,Spinach,Spices,,
99,Tabasco,Condiments,,
100,Tahin,Other,,
101,Turmeric,Spices,,
102,Vanilla,Herbs,,
103,Vegetable stock,Other,,
104,Walnut,Nut,,
105,Watermelon,Fruits,,
106,White wine,Alcohol,,
107,White wine vinegar,Vinegars,,
108,Yoghurt,Dairy,,
