Rank,Savory,Category,Sweet,Category
1,Garlic,Herbs,Almond,Nut
2,Olive oil,Oils,Bacon,Meats
3,Onion,Vegetables,Blackcurrant,Berries
4,Pepper,Spices,Lemon,Fruits
5,Tomato,Vegetables,Mayonnaise,Condiments
6,Cilantro,Herbs,Mustard,Condiments
7,Parmesan,Dairy,Vanilla,Herbs
8,Red onion,Vegetables,White chocolate,Other
9,Chili,Herbs,,
10,Ginger,Herbs,,
11,Lemon,Fruits,,
12,Nutmeg,Spices,,
13,Yoghurt,Dairy,,
14,Apple cider vinegar,Vinegars,,
15,Arugula,Vegetables,,
16,Avocado,Vegetables,,
17,Banana,Fruits,,
18,Basil,Herbs,,
19,Bay leaf,Herbs,,
20,Bell pepper,Vegetables,,
21,Brocolli,Vegetables,,
22,Carrot,Other,,
23,Cheddar,Cheeses,,
24,Chicken,Meats,,
25,Cinnamon,Spices,,
26,Coconut,Nut,,
27,Courgette,Vegetables,,
28,Cream,Dairy,,
29,Creme fraiche,Dairy,,
30,Cumin,Spices,,
31,Dill,Herbs,,
32,Feta,Cheeses,,
33,Fish sauce,Other,,
34,Garam masala,Spices,,
35,Honey,Sugars,,
36,Kale,Vegetables,,
37,Leek,Vegetables,,
38,Lime,Fruits,,
39,Mascarpone,Cheeses,,
40,Mint,Herbs,,
41,Mozzarella,Cheeses,,
42,Mushroom,Vegetables,,
43,Mustard,Condiments,,
44,Orange,Fruits,,
45,Oragano,Herbs,,
46,Parsley,Herbs,,
47,Pea,Vegetables,,
48,Pine nut,Nut,,
49,Potato,Vegetables,,
50,Ricotta,Cheeses,,
51,Shallot,Vegetables,,
52,Spring onion,Vegetables,,
53,Timian,Herbs,,
54,Turmeric,Spices,,
55,Vanilla,Herbs,,
56,Vegetable stock,Other,,
57,White wine,Alcohol,,
58,Zucchini,Vegetables,,
59,Almond,Nut,,
60,Apple,Fruits,,
61,Asparagus,Vegetables,,
62,Bacon,Meats,,
63,Balsamic vinegar,Vinegars,,
64,Bean sprout,Vegetables,,
65,Blueberry,Berries,,
66,Bread,Other,,
67,Buttermilk,Dairy,,
68,Butternut squash,Vegetables,,
69,Capers,Other,,
70,Cardamom,Spices,,
71,Cashew,Nut,,
72,Cauliflower,Vegetables,,
73,Celeriac,Vegetables,,
74,Celery,Vegetables,,
75,Cherry,Berries,,
76,Chicken stock,Other,,
77,Chick pea,Vegetables,,
78,Chive,Herbs,,
79,Chorizo,Meats,,
80,Cloves,Spices,,
81,Cocoa,Other,,
82,Coconut sugar,Sugars,,
83,Corn,Vegetables,,
84,Couscous,Other,,
85,Cream cheese,Cheeses,,
86,Cucumber,Vegetables,,
87,Curry,Spices,,
88,Date,Fruits,,
89,Edamame,Vegetables,,
90,Egg plant,Vegetables,,
91,Elderflower,Herbs,,
92,Fennel,Vegetables,,
93,Fennel seed,Spices,,
94,Flatleaf Parsley,Herbs,,
95,Flaxseed,Seeds,,
96,Goat cheese,Cheeses,,
97,Hazelnut,Nut,,
98,Jamón,Meats,,
99,Kiwi,Berries,,
100,Maple syrup,Sugars,,
101,Matcha tea,Beverages,,
102,Mayonnaise,Condiments,,
103,Noodle,Other,,
104,Paprika,Spices,,
105,Passionfruit,Fruits,,
106,Pasta,Other,,
107,Peach,Fruits,,
108,Pecan,Nut,,
109,Pineapple,Fruits,,
110,Pomegranate,Fruits,,
111,Pumpkin seed,Seeds,,
112,Raisin,Fruits,,
113,Rapeseed oil,Oils,,
114,Raspberry,Berries,,
115,Red wine,Alcohol,,
116,Rice,Other,,
117,Rosemary,Herbs,,
118,Rye bread,Other,,
119,Salad,Other,,
120,Salmon,Meats,,
121,Sesame seed,Seeds,,
122,Smoked paprika,Spices,,
123,Smoked salmon,Meats,,
124,Soy,Other,,
125,Star anise,Spices,,
126,Strawberry,Berries,,
127,Sundried tomato,Vegetables,,
128,Sweet potato,Vegetables,,
129,Tahin,Other,,
130,Walnut,Nut,,
131,White wine vinegar,Vinegars,,
132,Worcestershire sauce,Condiments,,
