Rank,Savory,Category,Sweet,Category
1,Garlic,Herbs,Chick pea,Vegetables
2,Olive oil,Oils,Soy,Other
3,Chili,Herbs,Bell pepper,Vegetables
4,Ginger,Herbs,Chili,Herbs
5,Cilantro,Herbs,Cucumber,Vegetables
6,Soy,Other,Cumin,Spices
7,Carrot,Other,Ketchup,Condiments
8,Onion,Vegetables,Lemon,Fruits
9,Pepper,Spices,Maple syrup,Sugars
10,Bell pepper,Vegetables,Mustard,Condiments
11,Cucumber,Vegetables,Olive oil,Oils
12,Fish sauce,Other,,
13,Lemon,Fruits,,
14,Lime,Fruits,,
15,Mint,Herbs,,
16,Parsley,Herbs,,
17,Red onion,Vegetables,,
18,Tomato,Vegetables,,
19,Apple cider vinegar,Vinegars,,
20,Avocado,Vegetables,,
21,Basil,Herbs,,
22,Bean sprout,Vegetables,,
23,Cashew,Nut,,
24,Celery,Vegetables,,
25,Chicken,Meats,,
26,Chicken stock,Other,,
27,Coconut,Nut,,
28,Cumin,Spices,,
29,Dill,Herbs,,
30,Feta,Cheeses,,
31,Honey,Sugars,,
32,Lemongrass,Herbs,,
33,Mayonnaise,Condiments,,
34,Mustard,Condiments,,
35,Noodle,Other,,
36,Paprika,Spices,,
37,Parmesan,Dairy,,
38,Pea,Vegetables,,
39,Pointed cabbage,Vegetables,,
40,Potato,Vegetables,,
41,Rice,Other,,
42,Sesame oil,Oils,,
43,Sesame seed,Seeds,,
44,Smoked paprika,Spices,,
45,Spinach,Spices,,
46,Timian,Herbs,,
47,Yoghurt,Dairy,,
48,Almond,Nut,,
49,Anchovy,Meats,,
50,Apple,Fruits,,
51,Arugula,Vegetables,,
52,Asparagus,Vegetables,,
53,Bacon,Meats,,
54,Balsamic vinegar,Vinegars,,
55,Bay leaf,Herbs,,
56,Beef,Meats,,
57,Beer,Alcohol,,
58,Beetroot,Vegetables,,
59,Blueberry,Berries,,
60,Bread,Other,,
61,Brocolli,Vegetables,,
62,Capers,Other,,
63,Cauliflower,Vegetables,,
64,Cayenne pepper,Spices,,
65,Celeriac,Vegetables,,
66,Cheddar,Cheeses,,
67,Chick pea,Vegetables,,
68,Chive,Herbs,,
69,Chorizo,Meats,,
70,Cinnamon,Spices,,
71,Cloves,Spices,,
72,Coconut sugar,Sugars,,
73,Cognac,Alcohol,,
74,Coriander seed,Other,,
75,Courgette,Vegetables,,
76,Couscous,Other,,
77,Cranberry,Berries,,
78,Cream,Dairy,,
79,Cream cheese,Cheeses,,
80,Creme fraiche,Dairy,,
81,Curry,Spices,,
82,Dark rum,Alcohol,,
83,Date,Fruits,,
84,Edamame,Vegetables,,
85,Egg plant,Vegetables,,
86,Fennel,Vegetables,,
87,Flatleaf Parsley,Herbs,,
88,Garam masala,Spices,,
89,Gin,Alcohol,,
90,Goat cheese,Cheeses,,
91,Hazelnut,Nut,,
92,Jamón,Meats,,
93,Kale,Vegetables,,
94,Ketchup,Condiments,,
95,Leek,Vegetables,,
96,Mango,Fruits,,
97,Maple syrup,Sugars,,
98,Mozzarella,Cheeses,,
99,Mushroom,Vegetables,,
100,Nutmeg,Spices,,
101,Orange,Fruits,,
102,Oragano,Herbs,,
103,Parsley root,Vegetables,,
104,Peanit,Nut,,
105,Peanut butter,Nut,,
106,Pear,Fruits,,
107,Pickling vinegar,Vinegars,,
108,Pine nut,Nut,,
109,Pineapple,Fruits,,
110,Pistachio,Nut,,
111,Pomegranate,Fruits,,
112,Pork,Meats,,
113,Pumpkin seed,Seeds,,
114,Raisin,Fruits,,
115,Rapeseed oil,Oils,,
116,Red cabbage,Vegetables,,
117,Red wine,Alcohol,,
118,Ricotta,Cheeses,,
119,Rosemary,Herbs,,
120,Sage,Herbs,,
121,Salad,Other,,
122,Salmon,Meats,,
123,Shallot,Vegetables,,
124,Star anise,Spices,,
125,Strawberry,Berries,,
126,Sundried tomato,Vegetables,,
127,Sweet potato,Vegetables,,
128,Tahin,Other,,
129,Tarragon,Herbs,,
130,Turmeric,Spices,,
131,Vegetable stock,Other,,
132,Vodka,Alcohol,,
133,Walnut,Nut,,
134,White wine,Alcohol,,
135,White wine vinegar,Vinegars,,
136,Worcestershire sauce,Condiments,,
137,Zucchini,Vegetables,,
