Rank,Savory,Category
1,Garlic,Herbs
2,Pepper,Spices
3,Tomato,Vegetables
4,Olive oil,Oils
5,Onion,Vegetables
6,Timian,Herbs
7,Parmesan,Dairy
8,Zucchini,Vegetables
9,Basil,Herbs
10,Beef,Meats
11,Celery,Vegetables
12,Egg plant,Vegetables
13,Feta,Cheeses
14,Mozzarella,Cheeses
15,Pasta,Other
16,Potato,Vegetables
17,Red onion,Vegetables
18,Smoked paprika,Spices
19,Apple cider vinegar,Vinegars
20,Arugula,Vegetables
21,Bacon,Meats
22,Bean,Vegetables
23,Bell pepper,Vegetables
24,Capers,Other
25,Carrot,Other
26,Cheddar,Cheeses
27,Chili,Herbs
28,Chorizo,Meats
29,Cilantro,Herbs
30,Cinnamon,Spices
31,Creme fraiche,Dairy
32,Cucumber,Vegetables
33,Cumin,Spices
34,Dark chocolate,Other
35,Flaxseed,Seeds
36,Honey,Sugars
37,Lemon,Fruits
38,Mushroom,Vegetables
39,Nutmeg,Spices
40,Oragano,Herbs
41,Paprika,Spices
42,Parsley,Herbs
43,Pine nut,Nut
44,Red wine,Alcohol
45,Rice,Other
46,Rosemary,Herbs
47,Spinach,Spices
48,Yoghurt,Dairy
49,Apple,Fruits
50,Avocado,Vegetables
51,Bay leaf,Herbs
52,Bread,Other
53,Chicken,Meats
54,Coconut sugar,Sugars
55,Cream cheese,Cheeses
56,Dill,Herbs
57,Edamame,Vegetables
58,Jamón,Meats
59,Ketchup,Condiments
60,Lime,Fruits
61,Mayonnaise,Condiments
62,Parsley root,Vegetables
63,Pumpkin,Vegetables
64,Pumpkin seed,Seeds
65,Spring onion,Vegetables
66,White wine,Alcohol
67,White wine vinegar,Vinegars
68,Worcestershire sauce,Condiments
