Rank,Savory,Category,Sweet,Category
1,Olive oil,Oils,Vanilla,Herbs
2,Garlic,Herbs,Nutmeg,Spices
3,Red onion,Vegetables,Cinnamon,Spices
4,Cilantro,Herbs,Pecan,Nut
5,Pepper,Spices,Marshmallow,Candy
6,Tomato,Vegetables,Cheddar,Cheeses
7,Chick pea,Vegetables,Chicken stock,Other
8,Feta,Cheeses,Creme fraiche,Dairy
9,Shallot,Vegetables,Cumin,Spices
10,Smoked paprika,Spices,Garlic,Herbs
11,Cumin,Spices,Ginger,Herbs
12,Ginger,Herbs,Honey,Sugars
13,Mayonnaise,Condiments,Onion,Vegetables
14,Onion,Vegetables,Oragano,Herbs
15,Parsley,Herbs,Pepper,Spices
16,Spinach,Spices,Soy,Other
17,Avocado,Vegetables,Tomato,Vegetables
18,Bell pepper,Vegetables,,
19,Brocolli,Vegetables,,
20,Butternut squash,Vegetables,,
21,Capers,Other,,
22,Carrot,Other,,
23,Chicken stock,Other,,
24,Chili,Herbs,,
25,Courgette,Vegetables,,
26,Cream,Dairy,,
27,Creme fraiche,Dairy,,
28,Fennel,Vegetables,,
29,Fennel seed,Spices,,
30,Garam masala,Spices,,
31,Honey,Sugars,,
32,Kale,Vegetables,,
33,Leek,Vegetables,,
34,Lemon,Fruits,,
35,Lime,Fruits,,
36,Maple syrup,Sugars,,
37,Mascarpone,Cheeses,,
38,Mint,Herbs,,
39,Mustard,Condiments,,
40,Parmesan,Dairy,,
41,Pea,Vegetables,,
42,Potato,Vegetables,,
43,Rapeseed oil,Oils,,
44,Spring onion,Vegetables,,
45,Star anise,Spices,,
46,Tahin,Other,,
47,Vegetable stock,Other,,
48,White wine,Alcohol,,
49,Yoghurt,Dairy,,
