Rank,Cocktail,Category
1,Orange,Fruits
2,Campari,Alcohol
3,Angostura,Alcohol
4,Gin,Alcohol
5,Cherry,Berries
6,Lemon,Fruits
7,Orange bitter,Alcohol
8,Bénédictine,Alcohol
9,Green chartreuse,Alcohol
10,Maraschino liqueur,Alcohol
11,Mezcal,Alcohol
12,Rye whiskey,Alcohol
13,Scotch,Alcohol
14,Cognac,Alcohol
15,Absinthe,Alcohol
16,Aperol,Alcohol
17,Blackberry,Berries
18,Bourbon,Alcohol
19,Calvados,Alcohol
20,Cinnamon,Spices
21,Cointreau,Liqueurs
22,Cranberry,Berries
23,Dry vermouth,Alcohol
24,Fernet Branca,Alcohol
25,Mint,Herbs
26,Nutmeg,Spices
27,Peychaud's Bitters,Alcohol
28,Rosemary,Herbs
29,Vodka,Alcohol
