Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Worcestershire sauce,Condiments,Onion,Vegetables,Garlic,Herbs
2,Tomato,Vegetables,Chili,Herbs,Lemon,Fruits
3,Celery,Vegetables,Garlic,Herbs,Mayonnaise,Condiments
4,Lemon,Fruits,Lemon,Fruits,Shallot,Vegetables
5,Lime,Fruits,Lime,Fruits,,
6,Vodka,Alcohol,Potato,Vegetables,,
7,Pepper,Spices,Red onion,Vegetables,,
8,Smoked paprika,Spices,Soy,Other,,
9,Balsamic vinegar,Vinegars,Tomato,Vegetables,,
10,Carrot,Other,Worcestershire sauce,Condiments,,
11,Dry vermouth,Alcohol,,,,
12,Garlic,Herbs,,,,
13,Tequila,Alcohol,,,,
