Rank,Savory,Category,Sweet,Category
1,Garlic,Herbs,Rapeseed oil,Oils
2,Olive oil,Oils,,
3,Lemon,Fruits,,
4,Cumin,Spices,,
5,Chick pea,Vegetables,,
6,Cilantro,Herbs,,
7,Pepper,Spices,,
8,Mint,Herbs,,
9,Parsley,Herbs,,
10,Yoghurt,Dairy,,
11,Avocado,Vegetables,,
12,Egg plant,Vegetables,,
13,Honey,Sugars,,
14,Onion,Vegetables,,
15,Pomegranate,Fruits,,
16,Red onion,Vegetables,,
17,Sesame seed,Seeds,,
18,Shallot,Vegetables,,
19,Tomato,Vegetables,,
20,Apple,Fruits,,
21,Arugula,Vegetables,,
22,Balsamic vinegar,Vinegars,,
23,Beetroot,Vegetables,,
24,Bell pepper,Vegetables,,
25,Carrot,Other,,
26,Cauliflower,Vegetables,,
27,Cayenne pepper,Spices,,
28,Chili,Herbs,,
29,Coriander seed,Other,,
30,Cucumber,Vegetables,,
31,Pea,Vegetables,,
32,Rapeseed oil,Oils,,
33,Rice,Other,,
34,Soy,Other,,
35,Spring onion,Vegetables,,
36,Timian,Herbs,,
37,Vegetable stock,Other,,
38,Zucchini,Vegetables,,
39,Almond,Nut,,
40,Apple cider vinegar,Vinegars,,
41,Butternut squash,Vegetables,,
42,Cinnamon,Spices,,
43,Coconut,Nut,,
44,Couscous,Other,,
45,Cranberry,Berries,,
46,Creme fraiche,Dairy,,
47,Date,Fruits,,
48,Dill,Herbs,,
49,Edamame,Vegetables,,
50,Fennel,Vegetables,,
51,Feta,Cheeses,,
52,Flatleaf Parsley,Herbs,,
53,Ginger,Herbs,,
54,Hazelnut,Nut,,
55,Lime,Fruits,,
56,Maple syrup,Sugars,,
57,Mushroom,Vegetables,,
58,Mustard,Condiments,,
59,Orange,Fruits,,
60,Paprika,Spices,,
61,Pear,Fruits,,
62,Pine nut,Nut,,
63,Pistachio,Nut,,
64,Red cabbage,Vegetables,,
65,Smoked paprika,Spices,,
66,Spinach,Spices,,
67,Sweet potato,Vegetables,,
68,Turmeric,Spices,,
69,Walnut,Nut,,
