Rank,Savory,Category,Sweet,Category
1,Pepper,Spices,Lemon,Fruits
2,Onion,Vegetables,Vanilla,Herbs
3,Lemon,Fruits,Blueberry,Berries
4,Garlic,Herbs,Condensed milk,Dairy
5,Olive oil,Oils,Dark chocolate,Other
6,Potato,Vegetables,Elderflower,Herbs
7,Creme fraiche,Dairy,Grand Marnier,Alcohol
8,Mustard,Condiments,Lime,Fruits
9,Parsley,Herbs,White chocolate,Other
10,Timian,Herbs,,
11,White wine,Alcohol,,
12,Bay leaf,Herbs,,
13,Chive,Herbs,,
14,Fennel,Vegetables,,
15,Leek,Vegetables,,
16,Nutmeg,Spices,,
17,Tomato,Vegetables,,
18,Almond,Nut,,
19,Apple cider vinegar,Vinegars,,
20,Avocado,Vegetables,,
21,Bacon,Meats,,
22,Basil,Herbs,,
23,Beef,Meats,,
24,Bread,Other,,
25,Capers,Other,,
26,Carrot,Other,,
27,Cayenne pepper,Spices,,
28,Celery,Vegetables,,
29,Chestnut,Nut,,
30,Chicken,Meats,,
31,Chicken stock,Other,,
32,Chili,Herbs,,
33,Cilantro,Herbs,,
34,Cognac,Alcohol,,
35,Cucumber,Vegetables,,
36,Dill,Herbs,,
37,Egg plant,Vegetables,,
38,Honey,Sugars,,
39,Lime,Fruits,,
40,Mango,Fruits,,
41,Maple syrup,Sugars,,
42,Mayonnaise,Condiments,,
43,Mint,Herbs,,
44,Mozzarella,Cheeses,,
45,Mushroom,Vegetables,,
46,Parmesan,Dairy,,
47,Pickling vinegar,Vinegars,,
48,Pointed cabbage,Vegetables,,
49,Pork,Meats,,
50,Red onion,Vegetables,,
51,Rosemary,Herbs,,
52,Rye bread,Other,,
53,Saffron,Herbs,,
54,Salad,Other,,
55,Spring onion,Vegetables,,
56,Vanilla,Herbs,,
57,White wine vinegar,Vinegars,,
58,Worcestershire sauce,Condiments,,
59,Zucchini,Vegetables,,
