Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lime,Fruits,Chicken stock,Other,Grapefruit,Fruits
2,Lemon,Fruits,Cilantro,Herbs,Lemon,Fruits
3,Cointreau,Liqueurs,Creme fraiche,Dairy,Lime,Fruits
4,Gin,Alcohol,Lime,Fruits,Marshmallow,Candy
5,Grapefruit,Fruits,Mayonnaise,Condiments,,
6,Rum,Alcohol,Red onion,Vegetables,,
7,Vodka,Alcohol,,,,
8,Agave nectar,Sugars,,,,
9,Amaretto,Alcohol,,,,
10,Beer,Alcohol,,,,
11,Blue curaçao,Alcohol,,,,
12,Campari,Alcohol,,,,
13,Cherry,Berries,,,,
14,Cranberry,Berries,,,,
15,Grand Marnier,Alcohol,,,,
16,Grenadine,Beverages,,,,
17,Mint,Herbs,,,,
18,Orange,Fruits,,,,
19,Orange bitter,Alcohol,,,,
20,Rosemary,Herbs,,,,
21,Angostura,Alcohol,,,,
22,Aperol,Alcohol,,,,
23,Apple cider,Alcohol,,,,
24,Blackberry,Berries,,,,
25,Coconut,Nut,,,,
26,Ginger,Herbs,,,,
27,Ginger beer,Beverages,,,,
28,Lemongrass,Herbs,,,,
29,Lillet blanc,Alcohol,,,,
30,Maraschino liqueur,Alcohol,,,,
31,Mezcal,Alcohol,,,,
32,Pepper,Spices,,,,
33,Red wine,Alcohol,,,,
34,St. Germain,Alcohol,,,,
35,Tabasco,Condiments,,,,
36,Tomato,Vegetables,,,,
37,Watermelon,Fruits,,,,
38,Worcestershire sauce,Condiments,,,,
