Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Carrot,Other,Garlic,Herbs,Pepper,Spices
2,Ginger,Herbs,Onion,Vegetables,Chicken stock,Other
3,Honey,Sugars,Pepper,Spices,Lemon,Fruits
4,Lemon,Fruits,Olive oil,Oils,Buttermilk,Dairy
5,,,Carrot,Other,Garlic,Herbs
6,,,Bay leaf,Herbs,Hazelnut,Nut
7,,,Tomato,Vegetables,Olive oil,Oils
8,,,Celery,Vegetables,Onion,Vegetables
9,,,Honey,Sugars,Parsley,Herbs
10,,,Leek,Vegetables,Vanilla,Herbs
11,,,Lemon,Fruits,Apple,Fruits
12,,,Parmesan,Dairy,Carrot,Other
13,,,Parsley,Herbs,Coriander seed,Other
14,,,Potato,Vegetables,Elderberry,Berries
15,,,Rosemary,Herbs,Maple syrup,Sugars
16,,,Apple,Fruits,Marzipan,Other
17,,,Apple cider vinegar,Vinegars,Mustard,Condiments
18,,,Bacon,Meats,Red onion,Vegetables
19,,,Beef,Meats,Sesame seed,Seeds
20,,,Bell pepper,Vegetables,Strawberry,Berries
21,,,Celeriac,Vegetables,White chocolate,Other
22,,,Chicken,Meats,,
23,,,Chicken stock,Other,,
24,,,Chili,Herbs,,
25,,,Chorizo,Meats,,
26,,,Cream,Dairy,,
27,,,Creme fraiche,Dairy,,
28,,,Cumin,Spices,,
29,,,Mozzarella,Cheeses,,
30,,,Mushroom,Vegetables,,
31,,,Mustard,Condiments,,
32,,,Nutmeg,Spices,,
33,,,Oragano,Herbs,,
34,,,Paprika,Spices,,
35,,,Red onion,Vegetables,,
36,,,Red wine,Alcohol,,
37,,,Shallot,Vegetables,,
38,,,Sundried tomato,Vegetables,,
39,,,White wine,Alcohol,,
40,,,Worcestershire sauce,Condiments,,
41,,,Zucchini,Vegetables,,
42,,,Allspice,Spices,,
43,,,Almond,Nut,,
44,,,Apple vinegar,Vinegars,,
45,,,Apricot,Fruits,,
46,,,Arugula,Vegetables,,
47,,,Asparagus,Vegetables,,
48,,,Avocado,Vegetables,,
49,,,Balsamic vinegar,Vinegars,,
50,,,Basil,Herbs,,
51,,,Bean sprout,Vegetables,,
52,,,Beef stock,Other,,
53,,,Beer,Alcohol,,
54,,,Beetroot,Vegetables,,
55,,,Blackberry,Berries,,
56,,,Brandy,Alcohol,,
57,,,Bread,Other,,
58,,,Brocolli,Vegetables,,
59,,,Butternut squash,Vegetables,,
60,,,Capers,Other,,
61,,,Caraway,Spices,,
62,,,Cardamom,Spices,,
63,,,Cayenne pepper,Spices,,
64,,,Cheddar,Cheeses,,
65,,,Chestnut,Nut,,
66,,,Chick pea,Vegetables,,
67,,,Chive,Herbs,,
68,,,Cilantro,Herbs,,
69,,,Cinnamon,Spices,,
70,,,Cloves,Spices,,
71,,,Coconut,Nut,,
72,,,Coconut sugar,Sugars,,
73,,,Cognac,Alcohol,,
74,,,Cointreau,Liqueurs,,
75,,,Corn,Vegetables,,
76,,,Cranberry,Berries,,
77,,,Cream cheese,Cheeses,,
78,,,Cucumber,Vegetables,,
79,,,Curry,Spices,,
80,,,Dark chocolate,Other,,
81,,,Date,Fruits,,
82,,,Dill,Herbs,,
83,,,Egg plant,Vegetables,,
84,,,Elderberry,Berries,,
85,,,Fennel,Vegetables,,
86,,,Fennel seed,Spices,,
87,,,Feta,Cheeses,,
88,,,Fish sauce,Other,,
89,,,Flatleaf Parsley,Herbs,,
90,,,Flaxseed,Seeds,,
91,,,Garam masala,Spices,,
92,,,Ginger,Herbs,,
93,,,Goat cheese,Cheeses,,
94,,,Grapefruit,Fruits,,
95,,,Hazelnut,Nut,,
96,,,Jamón,Meats,,
97,,,Kale,Vegetables,,
98,,,Ketchup,Condiments,,
99,,,Lime,Fruits,,
100,,,Maple syrup,Sugars,,
101,,,Mayonnaise,Condiments,,
102,,,Mint,Herbs,,
103,,,Noodle,Other,,
104,,,Orange,Fruits,,
105,,,Parsley root,Vegetables,,
106,,,Pasta,Other,,
107,,,Pea,Vegetables,,
108,,,Peach,Fruits,,
109,,,Pear,Fruits,,
110,,,Pickling vinegar,Vinegars,,
111,,,Pine nut,Nut,,
112,,,Pineapple,Fruits,,
113,,,Pointed cabbage,Vegetables,,
114,,,Pomegranate,Fruits,,
115,,,Pork,Meats,,
116,,,Portwine,Alcohol,,
117,,,Prune,Fruits,,
118,,,Pumpkin,Vegetables,,
119,,,Pumpkin seed,Seeds,,
120,,,Raisin,Fruits,,
121,,,Rapeseed oil,Oils,,
122,,,Raspberry,Berries,,
123,,,Red cabbage,Vegetables,,
124,,,Rice,Other,,
125,,,Ricotta,Cheeses,,
126,,,Rye bread,Other,,
127,,,Saffron,Herbs,,
128,,,Sage,Herbs,,
129,,,Salad,Other,,
130,,,Salmon,Meats,,
131,,,Schnapps,Alcohol,,
132,,,Sea buckthorn,Berries,,
133,,,Sesame seed,Seeds,,
134,,,Smoked paprika,Spices,,
135,,,Smoked salmon,Meats,,
136,,,Sourdough,Other,,
137,,,Soy,Other,,
138,,,Spinach,Spices,,
139,,,Spring onion,Vegetables,,
140,,,Star anise,Spices,,
141,,,Strawberry,Berries,,
142,,,Tahin,Other,,
143,,,Tarragon,Herbs,,
144,,,Turmeric,Spices,,
145,,,Vanilla,Herbs,,
146,,,Vegetable stock,Other,,
147,,,Walnut,Nut,,
148,,,White wine vinegar,Vinegars,,
149,,,Yoghurt,Dairy,,
