Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lemon,Fruits,Garlic,Herbs,Onion,Vegetables
2,Tabasco,Condiments,Olive oil,Oils,Garlic,Herbs
3,Worcestershire sauce,Condiments,Onion,Vegetables,Cumin,Spices
4,Lime,Fruits,Pepper,Spices,Mustard,Condiments
5,Celery,Vegetables,Chili,Herbs,Carrot,Other
6,Pepper,Spices,Carrot,Other,Chili,Herbs
7,Smoked paprika,Spices,Cilantro,Herbs,Cinnamon,Spices
8,Vodka,Alcohol,Cumin,Spices,Olive oil,Oils
9,Grapefruit,Fruits,Lemon,Fruits,Balsamic vinegar,Vinegars
10,Orange,Fruits,Parsley,Herbs,Celery,Vegetables
11,Balsamic vinegar,Vinegars,Red onion,Vegetables,Cheddar,Cheeses
12,Carrot,Other,Timian,Herbs,Chicken stock,Other
13,Dry vermouth,Alcohol,Avocado,Vegetables,Cilantro,Herbs
14,Garlic,Herbs,Bacon,Meats,Courgette,Vegetables
15,Gin,Alcohol,Balsamic vinegar,Vinegars,Cream,Dairy
16,Tequila,Alcohol,Basil,Herbs,Garam masala,Spices
17,,,Bay leaf,Herbs,Ginger,Herbs
18,,,Beef,Meats,Lemon,Fruits
19,,,Bell pepper,Vegetables,Maple syrup,Sugars
20,,,Celery,Vegetables,Nutmeg,Spices
21,,,Cheddar,Cheeses,Oragano,Herbs
22,,,Chicken,Meats,Shallot,Vegetables
23,,,Chicken stock,Other,Soy,Other
24,,,Chick pea,Vegetables,Sweet potato,Vegetables
25,,,Chorizo,Meats,Turmeric,Spices
26,,,Cinnamon,Spices,,
27,,,Creme fraiche,Dairy,,
28,,,Cucumber,Vegetables,,
29,,,Egg plant,Vegetables,,
30,,,Garam masala,Spices,,
31,,,Ginger,Herbs,,
32,,,Leek,Vegetables,,
33,,,Lime,Fruits,,
34,,,Mozzarella,Cheeses,,
35,,,Mushroom,Vegetables,,
36,,,Mustard,Condiments,,
37,,,Nutmeg,Spices,,
38,,,Oragano,Herbs,,
39,,,Paprika,Spices,,
40,,,Parmesan,Dairy,,
41,,,Potato,Vegetables,,
42,,,Red wine,Alcohol,,
43,,,Rosemary,Herbs,,
44,,,Smoked paprika,Spices,,
45,,,Spinach,Spices,,
46,,,Spring onion,Vegetables,,
47,,,Turmeric,Spices,,
48,,,White wine,Alcohol,,
49,,,Worcestershire sauce,Condiments,,
50,,,Yoghurt,Dairy,,
51,,,Zucchini,Vegetables,,
52,,,Allspice,Spices,,
53,,,Almond,Nut,,
54,,,Anchovy,Meats,,
55,,,Apple,Fruits,,
56,,,Apple cider,Alcohol,,
57,,,Apple cider vinegar,Vinegars,,
58,,,Apple vinegar,Vinegars,,
59,,,Apricot,Fruits,,
60,,,Arugula,Vegetables,,
61,,,Asparagus,Vegetables,,
62,,,Bean,Vegetables,,
63,,,Bean sprout,Vegetables,,
64,,,Beef stock,Other,,
65,,,Beer,Alcohol,,
66,,,Beetroot,Vegetables,,
67,,,Blueberry,Berries,,
68,,,Brandy,Alcohol,,
69,,,Bread,Other,,
70,,,Brocolli,Vegetables,,
71,,,Buttermilk,Dairy,,
72,,,Capers,Other,,
73,,,Caraway,Spices,,
74,,,Cardamom,Spices,,
75,,,Cashew,Nut,,
76,,,Cauliflower,Vegetables,,
77,,,Cayenne pepper,Spices,,
78,,,Celeriac,Vegetables,,
79,,,Chive,Herbs,,
80,,,Cloves,Spices,,
81,,,Cocoa,Other,,
82,,,Coconut,Nut,,
83,,,Coconut sugar,Sugars,,
84,,,Coffee,Beverages,,
85,,,Cognac,Alcohol,,
86,,,Coriander seed,Other,,
87,,,Corn,Vegetables,,
88,,,Courgette,Vegetables,,
89,,,Couscous,Other,,
90,,,Cream,Dairy,,
91,,,Cream cheese,Cheeses,,
92,,,Curry,Spices,,
93,,,Dark chocolate,Other,,
94,,,Date,Fruits,,
95,,,Dill,Herbs,,
96,,,Edamame,Vegetables,,
97,,,Fennel,Vegetables,,
98,,,Fennel seed,Spices,,
99,,,Feta,Cheeses,,
100,,,Fig,Fruits,,
101,,,Fish sauce,Other,,
102,,,Flatleaf Parsley,Herbs,,
103,,,Flaxseed,Seeds,,
104,,,Goat cheese,Cheeses,,
105,,,Hazelnut,Nut,,
106,,,Honey,Sugars,,
107,,,Jamón,Meats,,
108,,,Kale,Vegetables,,
109,,,Ketchup,Condiments,,
110,,,Lemongrass,Herbs,,
111,,,Mango,Fruits,,
112,,,Maple syrup,Sugars,,
113,,,Marsala,Alcohol,,
114,,,Mascarpone,Cheeses,,
115,,,Mayonnaise,Condiments,,
116,,,Mint,Herbs,,
117,,,Noodle,Other,,
118,,,Parsley root,Vegetables,,
119,,,Pasta,Other,,
120,,,Pea,Vegetables,,
121,,,Peach,Fruits,,
122,,,Peanut butter,Nut,,
123,,,Pear,Fruits,,
124,,,Pine nut,Nut,,
125,,,Pointed cabbage,Vegetables,,
126,,,Pomegranate,Fruits,,
127,,,Pork,Meats,,
128,,,Pumpkin,Vegetables,,
129,,,Pumpkin seed,Seeds,,
130,,,Raisin,Fruits,,
131,,,Rapeseed oil,Oils,,
132,,,Red cabbage,Vegetables,,
