Rank,Savory,Category,Sweet,Category
1,Garlic,Herbs,Ginger,Herbs
2,Cilantro,Herbs,Vanilla,Herbs
3,Cumin,Spices,Cocoa,Other
4,Onion,Vegetables,Coconut,Nut
5,Ginger,Herbs,Garam masala,Spices
6,Chili,Herbs,Garlic,Herbs
7,Olive oil,Oils,Lemon,Fruits
8,Tomato,Vegetables,Licorice,Candy
9,Cinnamon,Spices,Lime,Fruits
10,Garam masala,Spices,Onion,Vegetables
11,Pepper,Spices,Almond,Nut
12,Cloves,Spices,Chia seed,Seeds
13,Coconut,Nut,Chili,Herbs
14,Lemon,Fruits,Cilantro,Herbs
15,Lime,Fruits,Cointreau,Liqueurs
16,Red onion,Vegetables,Courgette,Vegetables
17,Rice,Other,Cream,Dairy
18,Yoghurt,Dairy,Cumin,Spices
19,Almond,Nut,Dark chocolate,Other
20,Bay leaf,Herbs,Date,Fruits
21,Bell pepper,Vegetables,Elderflower,Herbs
22,Capers,Other,Fish sauce,Other
23,Cardamom,Spices,Flaxseed,Seeds
24,Carrot,Other,Hazelnut,Nut
25,Cayenne pepper,Spices,Honey,Sugars
26,Chicken,Meats,Marzipan,Other
27,Chicken stock,Other,Olive oil,Oils
28,Coriander seed,Other,Peanit,Nut
29,Creme fraiche,Dairy,Pepper,Spices
30,Cucumber,Vegetables,Pistachio,Nut
31,Curry,Spices,Redcurrant,Berries
32,Dill,Herbs,Shallot,Vegetables
33,Honey,Sugars,Tomato,Vegetables
34,Mayonnaise,Condiments,White chocolate,Other
35,Mint,Herbs,Yoghurt,Dairy
36,Paprika,Spices,,
37,Parsley,Herbs,,
38,Potato,Vegetables,,
39,Shallot,Vegetables,,
40,Spinach,Spices,,
41,Allspice,Spices,,
42,Apple,Fruits,,
43,Apple cider vinegar,Vinegars,,
44,Apricot,Fruits,,
45,Arugula,Vegetables,,
46,Avocado,Vegetables,,
47,Bacon,Meats,,
48,Balsamic vinegar,Vinegars,,
49,Banana,Fruits,,
50,Bean sprout,Vegetables,,
51,Brocolli,Vegetables,,
52,Buttermilk,Dairy,,
53,Butternut squash,Vegetables,,
54,Cashew,Nut,,
55,Cauliflower,Vegetables,,
56,Celery,Vegetables,,
57,Cherry,Berries,,
58,Chick pea,Vegetables,,
59,Chive,Herbs,,
60,Coconut sugar,Sugars,,
61,Courgette,Vegetables,,
62,Couscous,Other,,
63,Cream,Dairy,,
64,Cream cheese,Cheeses,,
65,Dark chocolate,Other,,
66,Date,Fruits,,
67,Edamame,Vegetables,,
68,Egg plant,Vegetables,,
69,Fennel,Vegetables,,
70,Fennel seed,Spices,,
71,Feta,Cheeses,,
72,Fish sauce,Other,,
73,Flatleaf Parsley,Herbs,,
74,Hazelnut,Nut,,
75,Kale,Vegetables,,
76,Ketchup,Condiments,,
77,Leek,Vegetables,,
78,Lemongrass,Herbs,,
79,Mango,Fruits,,
80,Mushroom,Vegetables,,
81,Mustard,Condiments,,
82,Noodle,Other,,
83,Nutmeg,Spices,,
84,Parsley root,Vegetables,,
85,Pea,Vegetables,,
86,Pickling vinegar,Vinegars,,
87,Pine nut,Nut,,
88,Pistachio,Nut,,
89,Pork,Meats,,
90,Raisin,Fruits,,
91,Rapeseed oil,Oils,,
92,Rosemary,Herbs,,
93,Saffron,Herbs,,
94,Salad,Other,,
95,Sesame seed,Seeds,,
96,Smoked paprika,Spices,,
97,Soy,Other,,
98,Spring onion,Vegetables,,
99,Star anise,Spices,,
100,Tahin,Other,,
101,Timian,Herbs,,
102,Vanilla,Herbs,,
103,Vegetable stock,Other,,
104,White wine vinegar,Vinegars,,
105,Zucchini,Vegetables,,
