Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Cinnamon,Spices,Cinnamon,Spices,Lemon,Fruits
2,Nutmeg,Spices,Banana,Fruits,Almond,Nut
3,Cloves,Spices,Cardamom,Spices,Dark chocolate,Other
4,Lime,Fruits,Lemon,Fruits,Cinnamon,Spices
5,Rhubarb,Fruits,Almond,Nut,Marzipan,Other
6,Vodka,Alcohol,Honey,Sugars,White chocolate,Other
7,Dark rum,Alcohol,Ginger,Herbs,Cocoa,Other
8,Orange,Fruits,Orange,Fruits,Hazelnut,Nut
9,Allspice,Spices,Pepper,Spices,Raspberry,Berries
10,Basil,Herbs,Apple,Fruits,Apple,Fruits
11,Bourbon,Alcohol,Cloves,Spices,Blueberry,Berries
12,Brandy,Alcohol,Dark chocolate,Other,Cardamom,Spices
13,Cardamom,Spices,Garlic,Herbs,Cream cheese,Cheeses
14,Carrot,Other,Mint,Herbs,Creme fraiche,Dairy
15,Coconut,Nut,Raspberry,Berries,Ginger,Herbs
16,Coffee,Beverages,Allspice,Spices,Honey,Sugars
17,Cointreau,Liqueurs,Apple cider vinegar,Vinegars,Lime,Fruits
18,Cream,Dairy,Avocado,Vegetables,Orange,Fruits
19,Elderflower,Herbs,Bay leaf,Herbs,Rhubarb,Fruits
20,Gin,Alcohol,Buttermilk,Dairy,Strawberry,Berries
21,Honey,Sugars,Carrot,Other,Banana,Fruits
22,Lemon,Fruits,Chia seed,Seeds,Blackberry,Berries
23,Licorice,Candy,Chili,Herbs,Blackcurrant,Berries
24,Maple syrup,Sugars,Cocoa,Other,Buttermilk,Dairy
25,Mint,Herbs,Coconut,Nut,Cloves,Spices
26,Peppermint,Herbs,Cucumber,Vegetables,Coconut,Nut
27,Rum,Alcohol,Dark rum,Alcohol,Coffee,Beverages
28,Schnapps,Alcohol,Date,Fruits,Condensed milk,Dairy
29,Star anise,Spices,Dill,Herbs,Cream,Dairy
30,Strawberry,Berries,Flaxseed,Seeds,Elderflower,Herbs
31,Walnut,Nut,Hazelnut,Nut,Licorice,Candy
32,Whipped Cream,Dairy,Licorice,Candy,Marshmallow,Candy
33,White wine,Alcohol,Light rum,Alcohol,Mascarpone,Cheeses
34,,,Mango,Fruits,Milk chocolate,Other
35,,,Maple syrup,Sugars,Mint,Herbs
36,,,Marzipan,Other,Nutmeg,Spices
37,,,Nutmeg,Spices,Passionfruit,Fruits
38,,,Olive oil,Oils,Pecan,Nut
39,,,Onion,Vegetables,Pistachio,Nut
40,,,Paprika,Spices,Redcurrant,Berries
41,,,Parmesan,Dairy,Walnut,Nut
42,,,Peanut butter,Nut,Yoghurt,Dairy
43,,,Pear,Fruits,Allspice,Spices
44,,,Pineapple,Fruits,Amaretto,Alcohol
45,,,Pomegranate,Fruits,Anise,Spices
46,,,Portwine,Alcohol,Apple cider,Alcohol
47,,,Red onion,Vegetables,Apple cider vinegar,Vinegars
48,,,Rhubarb,Fruits,Apricot,Fruits
49,,,Spinach,Spices,Avocado,Vegetables
50,,,Star anise,Spices,Baileys,Alcohol
51,,,Strawberry,Berries,Balsamic vinegar,Vinegars
52,,,Timian,Herbs,Basil,Herbs
53,,,Walnut,Nut,Beer,Alcohol
54,,,Yoghurt,Dairy,Beetroot,Vegetables
55,,,Apricot,Fruits,Bergamot,Fruits
56,,,Arugula,Vegetables,Black tea,Beverages
57,,,Beer,Alcohol,Bourbon,Alcohol
58,,,Bell pepper,Vegetables,Bread,Other
59,,,Blackberry,Berries,Brown cheese,Cheeses
60,,,Blueberry,Berries,Caramel,Sugars
61,,,Brocolli,Vegetables,Caraway,Spices
62,,,Cashew,Nut,Carrot,Other
63,,,Cauliflower,Vegetables,Cashew,Nut
64,,,Celery,Vegetables,Champagne,Alcohol
65,,,Cherry,Berries,Cherry,Berries
66,,,Chicken,Meats,Cherry wine,Alcohol
67,,,Chicken stock,Other,Chestnut,Nut
68,,,Chive,Herbs,Chia seed,Seeds
69,,,Cilantro,Herbs,Chili,Herbs
70,,,Coconut sugar,Sugars,Chokeberry,Berries
71,,,Cream cheese,Cheeses,Cilantro,Herbs
72,,,Cumin,Spices,Cloudberry,Berries
73,,,Elderflower,Herbs,Coconut sugar,Sugars
74,,,Feta,Cheeses,Cognac,Alcohol
75,,,Grand Marnier,Alcohol,Cointreau,Liqueurs
76,,,Kale,Vegetables,Cranberry,Berries
77,,,Leek,Vegetables,Currant,Berries
78,,,Lime,Fruits,Curry,Spices
79,,,Mascarpone,Cheeses,Dark rum,Alcohol
80,,,Matcha tea,Beverages,Date,Fruits
81,,,Mustard,Condiments,Elderberry,Berries
82,,,Oragano,Herbs,Fig,Fruits
83,,,Parsley,Herbs,Flaxseed,Seeds
84,,,Peach,Fruits,Gin,Alcohol
85,,,Pickling vinegar,Vinegars,Goat cheese,Cheeses
86,,,Pistachio,Nut,Gooseberry,Berries
87,,,Plum,Berries,Grand Marnier,Alcohol
88,,,Potato,Vegetables,Grapefruit,Fruits
89,,,Red cabbage,Vegetables,Kiwi,Berries
90,,,Ricotta,Cheeses,Lavender,Herbs
91,,,Saffron,Herbs,Lemon balm,Herbs
92,,,Schnapps,Alcohol,Lemongrass,Herbs
93,,,Sesame seed,Seeds,Light rum,Alcohol
94,,,Smoked salmon,Meats,Mango,Fruits
95,,,Soy,Other,Maple syrup,Sugars
96,,,Tarragon,Herbs,Marsala,Alcohol
97,,,Tomato,Vegetables,Nougat,Other
98,,,Turmeric,Spices,Nutella,Other
99,,,White chocolate,Other,Olive oil,Oils
100,,,White wine,Alcohol,Oreo,Candy
101,,,Zucchini,Vegetables,Peach,Fruits
102,,,,,Peanit,Nut
103,,,,,Peanut butter,Nut
104,,,,,Pear,Fruits
105,,,,,Pepper,Spices
106,,,,,Peppermint,Herbs
107,,,,,Pine needles,Other
108,,,,,Pine nut,Nut
109,,,,,Pineapple,Fruits
110,,,,,Plum,Berries
111,,,,,Pomegranate,Fruits
112,,,,,Poppy seed,Seeds
113,,,,,Portwine,Alcohol
114,,,,,Potato,Vegetables
115,,,,,Prune,Fruits
116,,,,,Pumpkin,Vegetables
117,,,,,Pumpkin seed,Seeds
118,,,,,Raisin,Fruits
119,,,,,Red wine,Alcohol
120,,,,,Ricotta,Cheeses
121,,,,,Rosewater,Other
122,,,,,Rosemary,Herbs
123,,,,,Rum,Alcohol
124,,,,,Rye bread,Other
125,,,,,Saffron,Herbs
126,,,,,Ladyfingers,Other
127,,,,,Sea buckthorn,Berries
128,,,,,Sesame seed,Seeds
129,,,,,Spinach,Spices
130,,,,,Squid ink,Other
131,,,,,Star anise,Spices
132,,,,,Sweet potato,Vegetables
133,,,,,Tarragon,Herbs
134,,,,,Timian,Herbs
135,,,,,Toasted coconut,Nut
136,,,,,Turmeric,Spices
137,,,,,Vodka,Alcohol
138,,,,,Watermelon,Fruits
139,,,,,White rum,Alcohol
140,,,,,White wine,Alcohol
