Rank,Savory,Category
1,Garlic,Herbs
2,Olive oil,Oils
3,Onion,Vegetables
4,Tomato,Vegetables
5,Cumin,Spices
6,Chili,Herbs
7,Cilantro,Herbs
8,Red onion,Vegetables
9,Carrot,Other
10,Flatleaf Parsley,Herbs
11,Ginger,Herbs
12,Potato,Vegetables
13,Spinach,Spices
14,Spring onion,Vegetables
15,White wine,Alcohol
16,Balsamic vinegar,Vinegars
17,Bay leaf,Herbs
18,Bell pepper,Vegetables
19,Butternut squash,Vegetables
20,Cauliflower,Vegetables
21,Celery,Vegetables
22,Cheddar,Cheeses
23,Chick pea,Vegetables
24,Coconut,Nut
25,Couscous,Other
26,Cream,Dairy
27,Creme fraiche,Dairy
28,Dill,Herbs
29,Feta,Cheeses
30,Garam masala,Spices
31,Leek,Vegetables
32,Lemon,Fruits
33,Lime,Fruits
34,Mustard,Condiments
35,Parsley,Herbs
36,Pea,Vegetables
37,Red wine,Alcohol
38,Rice,Other
39,Ricotta,Cheeses
40,Rosemary,Herbs
41,Shallot,Vegetables
42,Smoked paprika,Spices
43,Soy,Other
44,Tahin,Other
45,Timian,Herbs
46,Turmeric,Spices
47,Yoghurt,Dairy
48,Arugula,Vegetables
49,Buttermilk,Dairy
50,Capers,Other
51,Cayenne pepper,Spices
52,Cinnamon,Spices
53,Cucumber,Vegetables
54,Fennel,Vegetables
55,Fennel seed,Spices
56,Hazelnut,Nut
57,Honey,Sugars
58,Mint,Herbs
59,Oragano,Herbs
60,Paprika,Spices
61,Pepper,Spices
62,Pine nut,Nut
63,Sesame seed,Seeds
64,Sweet potato,Vegetables
65,Walnut,Nut
66,White wine vinegar,Vinegars
