Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lime,Fruits,Garlic,Herbs,Lemon,Fruits
2,Lemon,Fruits,Tomato,Vegetables,White chocolate,Other
3,Orange,Fruits,Chili,Herbs,Dark chocolate,Other
4,Cointreau,Liqueurs,Cream,Dairy,Vanilla,Herbs
5,Gin,Alcohol,Rosemary,Herbs,Almond,Nut
6,Tabasco,Condiments,Shallot,Vegetables,Marzipan,Other
7,Worcestershire sauce,Condiments,Bay leaf,Herbs,Hazelnut,Nut
8,Blue curaçao,Alcohol,Celery,Vegetables,Lime,Fruits
9,Celery,Vegetables,Cilantro,Herbs,Apricot,Fruits
10,Cherry,Berries,Cointreau,Liqueurs,Blackberry,Berries
11,Cranberry,Berries,Cranberry,Berries,Buttermilk,Dairy
12,Pineapple,Fruits,Lime,Fruits,Cinnamon,Spices
13,Rum,Alcohol,Mayonnaise,Condiments,Cocoa,Other
14,Tomato,Vegetables,Olive oil,Oils,Coffee,Beverages
15,Aperol,Alcohol,Onion,Vegetables,Licorice,Candy
16,Ginger beer,Beverages,Parmesan,Dairy,Marshmallow,Candy
17,Kahlua,Alcohol,Pepper,Spices,Nougat,Other
18,Mint,Herbs,Red onion,Vegetables,Raspberry,Berries
19,Pepper,Spices,Red wine,Alcohol,Apple,Fruits
20,Rhubarb,Fruits,Spring onion,Vegetables,Basil,Herbs
21,Smoked paprika,Spices,Worcestershire sauce,Condiments,Blueberry,Berries
22,Tequila,Alcohol,,,Cranberry,Berries
23,Vanilla,Herbs,,,Creme fraiche,Dairy
24,Absinthe,Alcohol,,,Elderflower,Herbs
25,Amaretto,Alcohol,,,Ginger,Herbs
26,Bacon,Meats,,,Gooseberry,Berries
27,Baileys,Alcohol,,,Grand Marnier,Alcohol
28,Basil,Herbs,,,Kahlua,Alcohol
29,Beer,Alcohol,,,Mascarpone,Cheeses
30,Blackberry,Berries,,,Milk chocolate,Other
31,Calvados,Alcohol,,,Mint,Herbs
32,Campari,Alcohol,,,Nutmeg,Spices
33,Cinnamon,Spices,,,Orange,Fruits
34,Coconut,Nut,,,Pine needles,Other
35,Coffee,Beverages,,,Prune,Fruits
36,Cream,Dairy,,,Raisin,Fruits
37,Cucumber,Vegetables,,,Redcurrant,Berries
38,Dry vermouth,Alcohol,,,Wood sorrel,Herbs
39,Elderflower,Herbs,,,,
40,Ginger,Herbs,,,,
41,Grapefruit,Fruits,,,,
42,Light rum,Alcohol,,,,
43,Orange bitter,Alcohol,,,,
44,Peychaud's Bitters,Alcohol,,,,
45,Raisin,Fruits,,,,
46,Raspberry,Berries,,,,
47,Red wine,Alcohol,,,,
48,Rosemary,Herbs,,,,
49,Strawberry,Berries,,,,
50,Sweet vermouth,Alcohol,,,,
