Rank,Savory,Category,Sweet,Category
1,Olive oil,Oils,Balsamic vinegar,Vinegars
2,Garlic,Herbs,Olive oil,Oils
3,Lemon,Fruits,White wine vinegar,Vinegars
4,Cumin,Spices,,
5,Honey,Sugars,,
6,Parmesan,Dairy,,
7,Potato,Vegetables,,
8,White wine,Alcohol,,
9,Avocado,Vegetables,,
10,Balsamic vinegar,Vinegars,,
11,Creme fraiche,Dairy,,
12,Feta,Cheeses,,
13,Flatleaf Parsley,Herbs,,
14,Mint,Herbs,,
15,Mustard,Condiments,,
16,Onion,Vegetables,,
17,Pepper,Spices,,
18,Red onion,Vegetables,,
19,Anchovy,Meats,,
20,Capers,Other,,
21,Cauliflower,Vegetables,,
22,Cayenne pepper,Spices,,
23,Chicken stock,Other,,
24,Cream,Dairy,,
25,Cucumber,Vegetables,,
26,Fennel seed,Spices,,
27,Leek,Vegetables,,
28,Lime,Fruits,,
29,Parsley,Herbs,,
30,Pea,Vegetables,,
31,Pine nut,Nut,,
32,Rapeseed oil,Oils,,
33,Rice,Other,,
34,Shallot,Vegetables,,
35,Smoked paprika,Spices,,
36,Tomato,Vegetables,,
37,White wine vinegar,Vinegars,,
