Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Cinnamon,Spices,Dark chocolate,Other,Vanilla,Herbs
2,Cream,Dairy,Hazelnut,Nut,Lemon,Fruits
3,,,Nougat,Other,Almond,Nut
4,,,Raspberry,Berries,Dark chocolate,Other
5,,,Almond,Nut,Marzipan,Other
6,,,Baileys,Alcohol,Lime,Fruits
7,,,Chia seed,Seeds,Cocoa,Other
8,,,Coconut,Nut,Hazelnut,Nut
9,,,Coconut sugar,Sugars,Raspberry,Berries
10,,,Date,Fruits,Condensed milk,Dairy
11,,,Honey,Sugars,Honey,Sugars
12,,,Licorice,Candy,Orange,Fruits
13,,,Marzipan,Other,Pistachio,Nut
14,,,Milk chocolate,Other,Strawberry,Berries
15,,,Mint,Herbs,Apple,Fruits
16,,,Pistachio,Nut,Apricot,Fruits
17,,,Pomegranate,Fruits,Basil,Herbs
18,,,Vanilla,Herbs,Blackberry,Berries
19,,,,,Blackcurrant,Berries
20,,,,,Blueberry,Berries
21,,,,,Buttermilk,Dairy
22,,,,,Cardamom,Spices
23,,,,,Cinnamon,Spices
24,,,,,Coconut,Nut
25,,,,,Cream cheese,Cheeses
26,,,,,Creme fraiche,Dairy
27,,,,,Elderflower,Herbs
28,,,,,Ginger,Herbs
29,,,,,Licorice,Candy
30,,,,,Mango,Fruits
31,,,,,Marshmallow,Candy
32,,,,,Mascarpone,Cheeses
33,,,,,Milk chocolate,Other
34,,,,,Mint,Herbs
35,,,,,Nougat,Other
36,,,,,Passionfruit,Fruits
37,,,,,Rhubarb,Fruits
38,,,,,Vodka,Alcohol
39,,,,,Walnut,Nut
40,,,,,Wood sorrel,Herbs
41,,,,,Yoghurt,Dairy
42,,,,,Allspice,Spices
43,,,,,Amaretto,Alcohol
44,,,,,Anise,Spices
45,,,,,Apple cider vinegar,Vinegars
46,,,,,Avocado,Vegetables
47,,,,,Bacon,Meats
48,,,,,Baileys,Alcohol
49,,,,,Banana,Fruits
50,,,,,Beetroot,Vegetables
51,,,,,Brown cheese,Cheeses
52,,,,,Carrot,Other
53,,,,,Cashew,Nut
54,,,,,Champagne,Alcohol
55,,,,,Cherry,Berries
56,,,,,Chestnut,Nut
57,,,,,Chia seed,Seeds
58,,,,,Chili,Herbs
59,,,,,Chokeberry,Berries
60,,,,,Cilantro,Herbs
61,,,,,Cloudberry,Berries
62,,,,,Cloves,Spices
63,,,,,Coconut sugar,Sugars
64,,,,,Coffee,Beverages
65,,,,,Cognac,Alcohol
66,,,,,Cointreau,Liqueurs
67,,,,,Cranberry,Berries
68,,,,,Dark rum,Alcohol
69,,,,,Date,Fruits
70,,,,,Fig,Fruits
71,,,,,Flaxseed,Seeds
72,,,,,Goat cheese,Cheeses
73,,,,,Gooseberry,Berries
74,,,,,Grand Marnier,Alcohol
75,,,,,Grapefruit,Fruits
76,,,,,Kiwi,Berries
77,,,,,Lavender,Herbs
78,,,,,Lemon balm,Herbs
79,,,,,Lemongrass,Herbs
80,,,,,Light rum,Alcohol
81,,,,,Lychee,Fruits
82,,,,,Maple syrup,Sugars
83,,,,,Matcha tea,Beverages
84,,,,,Nutmeg,Spices
85,,,,,Olive oil,Oils
86,,,,,Oreo,Candy
87,,,,,Peach,Fruits
88,,,,,Peanit,Nut
89,,,,,Peanut butter,Nut
90,,,,,Pear,Fruits
91,,,,,Pecan,Nut
92,,,,,Pepper,Spices
93,,,,,Pine needles,Other
94,,,,,Pineapple,Fruits
95,,,,,Plum,Berries
96,,,,,Pomegranate,Fruits
97,,,,,Poppy seed,Seeds
98,,,,,Portwine,Alcohol
99,,,,,Prune,Fruits
100,,,,,Pumpkin,Vegetables
101,,,,,Pumpkin seed,Seeds
102,,,,,Raisin,Fruits
103,,,,,Red cabbage,Vegetables
104,,,,,Redcurrant,Berries
105,,,,,Rosewater,Other
106,,,,,Rosemary,Herbs
107,,,,,Rum,Alcohol
108,,,,,Rye bread,Other
109,,,,,Ladyfingers,Other
110,,,,,Sea buckthorn,Berries
111,,,,,Sesame seed,Seeds
112,,,,,Spinach,Spices
113,,,,,Squid ink,Other
114,,,,,Star anise,Spices
115,,,,,Tarragon,Herbs
116,,,,,Timian,Herbs
117,,,,,Toasted coconut,Nut
118,,,,,Turmeric,Spices
119,,,,,White wine vinegar,Vinegars
120,,,,,Yuzu,Fruits
