Rank,Savory,Category,Sweet,Category
1,Olive oil,Oils,Raspberry,Berries
2,Garlic,Herbs,Vanilla,Herbs
3,Onion,Vegetables,White chocolate,Other
4,Pepper,Spices,Cocoa,Other
5,Mustard,Condiments,Mint,Herbs
6,Lemon,Fruits,Mustard,Condiments
7,Honey,Sugars,Olive oil,Oils
8,Potato,Vegetables,Strawberry,Berries
9,Bay leaf,Herbs,Balsamic vinegar,Vinegars
10,Chili,Herbs,Bell pepper,Vegetables
11,Creme fraiche,Dairy,Blackberry,Berries
12,Parsley,Herbs,Blueberry,Berries
13,Red onion,Vegetables,Buttermilk,Dairy
14,Timian,Herbs,Cream cheese,Cheeses
15,Tomato,Vegetables,Honey,Sugars
16,White wine,Alcohol,Ketchup,Condiments
17,Arugula,Vegetables,Lemon,Fruits
18,Avocado,Vegetables,Red onion,Vegetables
19,Bacon,Meats,Shallot,Vegetables
20,Basil,Herbs,Watercress,Vegetables
21,Beef,Meats,Yoghurt,Dairy
22,Brocolli,Vegetables,,
23,Capers,Other,,
24,Carrot,Other,,
25,Celery,Vegetables,,
26,Chicken stock,Other,,
27,Chive,Herbs,,
28,Cilantro,Herbs,,
29,Cinnamon,Spices,,
30,Cognac,Alcohol,,
31,Cream,Dairy,,
32,Cucumber,Vegetables,,
33,Dill,Herbs,,
34,Fennel,Vegetables,,
35,Fennel seed,Spices,,
36,Flatleaf Parsley,Herbs,,
37,Garam masala,Spices,,
38,Ketchup,Condiments,,
39,Leek,Vegetables,,
40,Mango,Fruits,,
41,Mayonnaise,Condiments,,
42,Nutmeg,Spices,,
43,Paprika,Spices,,
44,Parmesan,Dairy,,
45,Pine nut,Nut,,
46,Rosemary,Herbs,,
47,Shallot,Vegetables,,
48,Spinach,Spices,,
49,Spring onion,Vegetables,,
50,Turmeric,Spices,,
51,Yoghurt,Dairy,,
52,Allspice,Spices,,
53,Apple,Fruits,,
54,Asparagus,Vegetables,,
55,Beef stock,Other,,
56,Bell pepper,Vegetables,,
57,Buttermilk,Dairy,,
58,Cardamom,Spices,,
59,Cauliflower,Vegetables,,
60,Celeriac,Vegetables,,
61,Cheddar,Cheeses,,
62,Cloves,Spices,,
63,Coriander seed,Other,,
64,Cranberry,Berries,,
65,Cumin,Spices,,
66,Feta,Cheeses,,
67,Ginger,Herbs,,
68,Kale,Vegetables,,
69,Mint,Herbs,,
70,Mushroom,Vegetables,,
71,Orange,Fruits,,
72,Oragano,Herbs,,
73,Pecan,Nut,,
74,Pointed cabbage,Vegetables,,
75,Pumpkin,Vegetables,,
76,Rapeseed oil,Oils,,
77,Rye bread,Other,,
78,Salmon,Meats,,
79,Smoked paprika,Spices,,
80,Soy,Other,,
81,Star anise,Spices,,
82,Strawberry,Berries,,
83,Sundried tomato,Vegetables,,
84,Tarragon,Herbs,,
85,Vegetable stock,Other,,
86,Watercress,Vegetables,,
