Rank,Savory,Category,Sweet,Category
1,Apple,Fruits,Lemon,Fruits
2,Bacon,Meats,White chocolate,Other
3,Cauliflower,Vegetables,Almond,Nut
4,Honey,Sugars,Cocoa,Other
5,Pepper,Spices,Hazelnut,Nut
6,,,Dark chocolate,Other
7,,,Milk chocolate,Other
8,,,Vanilla,Herbs
9,,,Blackberry,Berries
10,,,Marzipan,Other
11,,,Raspberry,Berries
12,,,Lime,Fruits
13,,,Rhubarb,Fruits
14,,,Yoghurt,Dairy
15,,,Amaretto,Alcohol
16,,,Apple,Fruits
17,,,Apple cider vinegar,Vinegars
18,,,Basil,Herbs
19,,,Blackcurrant,Berries
20,,,Buttermilk,Dairy
21,,,Cardamom,Spices
22,,,Chia seed,Seeds
23,,,Chokeberry,Berries
24,,,Cinnamon,Spices
25,,,Coffee,Beverages
26,,,Creme fraiche,Dairy
27,,,Elderflower,Herbs
28,,,Ginger,Herbs
29,,,Gooseberry,Berries
30,,,Grapefruit,Fruits
31,,,Honey,Sugars
32,,,Licorice,Candy
33,,,Mascarpone,Cheeses
34,,,Nutella,Other
35,,,Orange,Fruits
36,,,Passionfruit,Fruits
37,,,Peanit,Nut
38,,,Peanut butter,Nut
39,,,Plum,Berries
40,,,Redcurrant,Berries
41,,,Strawberry,Berries
42,,,Vodka,Alcohol
43,,,Walnut,Nut
44,,,White wine,Alcohol
