Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lime,Fruits,Garlic,Herbs,Pepper,Spices
2,Tabasco,Condiments,Onion,Vegetables,Garlic,Herbs
3,Tomato,Vegetables,Pepper,Spices,Lemon,Fruits
4,Celery,Vegetables,Olive oil,Oils,Mayonnaise,Condiments
5,Lemon,Fruits,Tomato,Vegetables,Onion,Vegetables
6,Vodka,Alcohol,Carrot,Other,Paprika,Spices
7,Pepper,Spices,Mustard,Condiments,Soy,Other
8,Smoked paprika,Spices,Potato,Vegetables,,
9,Balsamic vinegar,Vinegars,Red wine,Alcohol,,
10,Carrot,Other,Bay leaf,Herbs,,
11,Garlic,Herbs,Celery,Vegetables,,
12,Gin,Alcohol,Ketchup,Condiments,,
13,Tequila,Alcohol,Lemon,Fruits,,
14,,,Mayonnaise,Condiments,,
15,,,Paprika,Spices,,
16,,,Red onion,Vegetables,,
17,,,Smoked paprika,Spices,,
18,,,Timian,Herbs,,
19,,,Apple cider vinegar,Vinegars,,
20,,,Bacon,Meats,,
21,,,Balsamic vinegar,Vinegars,,
22,,,Beef,Meats,,
23,,,Beef stock,Other,,
24,,,Cayenne pepper,Spices,,
25,,,Cheddar,Cheeses,,
26,,,Chili,Herbs,,
27,,,Creme fraiche,Dairy,,
28,,,Cumin,Spices,,
29,,,Flatleaf Parsley,Herbs,,
30,,,Honey,Sugars,,
31,,,Lime,Fruits,,
32,,,Mushroom,Vegetables,,
33,,,Oragano,Herbs,,
34,,,Parmesan,Dairy,,
35,,,Parsley,Herbs,,
36,,,Pea,Vegetables,,
37,,,Rosemary,Herbs,,
38,,,Shallot,Vegetables,,
39,,,Soy,Other,,
40,,,Zucchini,Vegetables,,
41,,,Anchovy,Meats,,
42,,,Apple cider,Alcohol,,
43,,,Apricot,Fruits,,
44,,,Arugula,Vegetables,,
45,,,Asparagus,Vegetables,,
46,,,Avocado,Vegetables,,
47,,,Basil,Herbs,,
48,,,Beer,Alcohol,,
49,,,Beetroot,Vegetables,,
50,,,Bell pepper,Vegetables,,
51,,,Capers,Other,,
52,,,Cardamom,Spices,,
53,,,Cauliflower,Vegetables,,
54,,,Chicken,Meats,,
55,,,Chicken stock,Other,,
56,,,Cilantro,Herbs,,
57,,,Cinnamon,Spices,,
58,,,Cocoa,Other,,
59,,,Cream,Dairy,,
60,,,Cucumber,Vegetables,,
61,,,Curry,Spices,,
62,,,Egg plant,Vegetables,,
63,,,Fish sauce,Other,,
64,,,Ginger,Herbs,,
65,,,Leek,Vegetables,,
66,,,Lemongrass,Herbs,,
67,,,Mozzarella,Cheeses,,
68,,,Nutmeg,Spices,,
69,,,Pineapple,Fruits,,
70,,,Plum,Berries,,
71,,,Sesame seed,Seeds,,
72,,,Spinach,Spices,,
73,,,Spring onion,Vegetables,,
74,,,Star anise,Spices,,
75,,,Sundried tomato,Vegetables,,
76,,,Tabasco,Condiments,,
77,,,Tarragon,Herbs,,
78,,,Vodka,Alcohol,,
79,,,White wine,Alcohol,,
80,,,Yoghurt,Dairy,,
