Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lemon,Fruits,Garlic,Herbs,Vanilla,Herbs
2,,,Olive oil,Oils,Lemon,Fruits
3,,,Lemon,Fruits,White chocolate,Other
4,,,Onion,Vegetables,Almond,Nut
5,,,Pepper,Spices,Lime,Fruits
6,,,Tomato,Vegetables,Marzipan,Other
7,,,Chili,Herbs,Cinnamon,Spices
8,,,Cilantro,Herbs,Cocoa,Other
9,,,Cumin,Spices,Creme fraiche,Dairy
10,,,Red onion,Vegetables,Dark chocolate,Other
11,,,Carrot,Other,Hazelnut,Nut
12,,,Cucumber,Vegetables,Honey,Sugars
13,,,Ginger,Herbs,Raspberry,Berries
14,,,Honey,Sugars,Apple,Fruits
15,,,Mint,Herbs,Blueberry,Berries
16,,,Turmeric,Spices,Cardamom,Spices
17,,,Apple,Fruits,Olive oil,Oils
18,,,Capers,Other,Orange,Fruits
19,,,Cardamom,Spices,Pistachio,Nut
20,,,Chicken,Meats,Rhubarb,Fruits
21,,,Chicken stock,Other,Strawberry,Berries
22,,,Chick pea,Vegetables,Amaretto,Alcohol
23,,,Cinnamon,Spices,Balsamic vinegar,Vinegars
24,,,Cloves,Spices,Banana,Fruits
25,,,Curry,Spices,Blackberry,Berries
26,,,Egg plant,Vegetables,Chili,Herbs
27,,,Feta,Cheeses,Courgette,Vegetables
28,,,Flatleaf Parsley,Herbs,Cream cheese,Cheeses
29,,,Garam masala,Spices,Ginger,Herbs
30,,,Lime,Fruits,Licorice,Candy
31,,,Mayonnaise,Condiments,Marshmallow,Candy
32,,,Mustard,Condiments,Milk chocolate,Other
33,,,Paprika,Spices,Mint,Herbs
34,,,Parsley,Herbs,Nutmeg,Spices
35,,,Pine nut,Nut,Passionfruit,Fruits
36,,,Rice,Other,Pear,Fruits
37,,,Shallot,Vegetables,Redcurrant,Berries
38,,,Spinach,Spices,Walnut,Nut
39,,,Spring onion,Vegetables,Wood sorrel,Herbs
40,,,Tahin,Other,Arugula,Vegetables
41,,,Timian,Herbs,Avocado,Vegetables
42,,,Allspice,Spices,Basil,Herbs
43,,,Almond,Nut,Beetroot,Vegetables
44,,,Anchovy,Meats,Blackcurrant,Berries
45,,,Arugula,Vegetables,Buttermilk,Dairy
46,,,Asparagus,Vegetables,Cherry,Berries
47,,,Avocado,Vegetables,Cloves,Spices
48,,,Bacon,Meats,Coconut,Nut
49,,,Balsamic vinegar,Vinegars,Condensed milk,Dairy
50,,,Banana,Fruits,Coriander seed,Other
51,,,Basil,Herbs,Couscous,Other
52,,,Bay leaf,Herbs,Cumin,Spices
53,,,Beer,Alcohol,Elderflower,Herbs
54,,,Beetroot,Vegetables,Fig,Fruits
55,,,Bell pepper,Vegetables,Kiwi,Berries
56,,,Bergamot,Fruits,Mango,Fruits
57,,,Blueberry,Berries,Maple syrup,Sugars
58,,,Brocolli,Vegetables,Mayonnaise,Condiments
59,,,Buttermilk,Dairy,Mustard,Condiments
60,,,Cashew,Nut,Nutella,Other
61,,,Cauliflower,Vegetables,Onion,Vegetables
62,,,Cayenne pepper,Spices,Parsley,Herbs
63,,,Celeriac,Vegetables,Peanit,Nut
64,,,Celery,Vegetables,Pepper,Spices
65,,,Cheddar,Cheeses,Pineapple,Fruits
66,,,Chia seed,Seeds,Pomegranate,Fruits
67,,,Chive,Herbs,Pumpkin,Vegetables
68,,,Chorizo,Meats,Pumpkin seed,Seeds
69,,,Coconut,Nut,Sea buckthorn,Berries
70,,,Cognac,Alcohol,Sesame seed,Seeds
71,,,Coriander seed,Other,Turmeric,Spices
72,,,Courgette,Vegetables,White wine vinegar,Vinegars
73,,,Couscous,Other,,
74,,,Cranberry,Berries,,
75,,,Cream,Dairy,,
76,,,Cream cheese,Cheeses,,
77,,,Creme fraiche,Dairy,,
78,,,Dark chocolate,Other,,
79,,,Date,Fruits,,
80,,,Dill,Herbs,,
81,,,Fennel,Vegetables,,
82,,,Fennel seed,Spices,,
83,,,Fish sauce,Other,,
84,,,Flaxseed,Seeds,,
85,,,Grapefruit,Fruits,,
86,,,Hazelnut,Nut,,
87,,,Jamón,Meats,,
88,,,Kale,Vegetables,,
89,,,Ketchup,Condiments,,
90,,,Leek,Vegetables,,
91,,,Mango,Fruits,,
92,,,Maple syrup,Sugars,,
93,,,Mozzarella,Cheeses,,
94,,,Mushroom,Vegetables,,
95,,,Nutmeg,Spices,,
96,,,Orange,Fruits,,
97,,,Oragano,Herbs,,
98,,,Parmesan,Dairy,,
99,,,Pasta,Other,,
100,,,Pea,Vegetables,,
101,,,Peanut butter,Nut,,
102,,,Pear,Fruits,,
103,,,Pointed cabbage,Vegetables,,
104,,,Pomegranate,Fruits,,
105,,,Pork,Meats,,
106,,,Potato,Vegetables,,
107,,,Pumpkin seed,Seeds,,
108,,,Raisin,Fruits,,
109,,,Rapeseed oil,Oils,,
110,,,Raspberry,Berries,,
111,,,Red cabbage,Vegetables,,
112,,,Ricotta,Cheeses,,
113,,,Rosemary,Herbs,,
114,,,Salad,Other,,
115,,,Salmon,Meats,,
116,,,Sea buckthorn,Berries,,
117,,,Sesame seed,Seeds,,
118,,,Smoked paprika,Spices,,
119,,,Soy,Other,,
120,,,Star anise,Spices,,
121,,,Strawberry,Berries,,
122,,,Sundried tomato,Vegetables,,
123,,,Sweet potato,Vegetables,,
124,,,Vanilla,Herbs,,
125,,,Vegetable stock,Other,,
126,,,Walnut,Nut,,
127,,,White wine vinegar,Vinegars,,
128,,,Worcestershire sauce,Condiments,,
129,,,Zucchini,Vegetables,,
