Rank,Savory,Category,Sweet,Category
1,Pepper,Spices,Cardamom,Spices
2,Garlic,Herbs,Cinnamon,Spices
3,Olive oil,Oils,Lemon,Fruits
4,Onion,Vegetables,Vanilla,Herbs
5,Tomato,Vegetables,Allspice,Spices
6,Carrot,Other,Cream cheese,Cheeses
7,Cumin,Spices,Dark chocolate,Other
8,Timian,Herbs,Mascarpone,Cheeses
9,Bell pepper,Vegetables,Walnut,Nut
10,Celery,Vegetables,,
11,Chili,Herbs,,
12,Cilantro,Herbs,,
13,Lime,Fruits,,
14,Oragano,Herbs,,
15,Parmesan,Dairy,,
16,Red onion,Vegetables,,
17,Smoked paprika,Spices,,
18,Avocado,Vegetables,,
19,Bacon,Meats,,
20,Basil,Herbs,,
21,Bean,Vegetables,,
22,Beef,Meats,,
23,Brocolli,Vegetables,,
24,Cardamom,Spices,,
25,Cheddar,Cheeses,,
26,Chicken,Meats,,
27,Chick pea,Vegetables,,
28,Chorizo,Meats,,
29,Cinnamon,Spices,,
30,Corn,Vegetables,,
31,Creme fraiche,Dairy,,
32,Curry,Spices,,
33,Egg plant,Vegetables,,
34,Ginger,Herbs,,
35,Lemon,Fruits,,
36,Mozzarella,Cheeses,,
37,Mushroom,Vegetables,,
38,Paprika,Spices,,
39,Parsley,Herbs,,
40,Pasta,Other,,
41,Potato,Vegetables,,
42,Rice,Other,,
43,Soy,Other,,
44,Spinach,Spices,,
45,Spring onion,Vegetables,,
46,Sundried tomato,Vegetables,,
47,Almond,Nut,,
48,Apple cider vinegar,Vinegars,,
49,Arugula,Vegetables,,
50,Asparagus,Vegetables,,
51,Balsamic vinegar,Vinegars,,
52,Bay leaf,Herbs,,
53,Bean sprout,Vegetables,,
54,Bread,Other,,
55,Cashew,Nut,,
56,Cauliflower,Vegetables,,
57,Cayenne pepper,Spices,,
58,Chicken stock,Other,,
59,Chive,Herbs,,
60,Coconut,Nut,,
61,Coconut sugar,Sugars,,
62,Cucumber,Vegetables,,
63,Dark chocolate,Other,,
64,Dill,Herbs,,
65,Edamame,Vegetables,,
66,Fennel,Vegetables,,
67,Feta,Cheeses,,
68,Fish sauce,Other,,
69,Garam masala,Spices,,
70,Honey,Sugars,,
71,Leek,Vegetables,,
72,Maple syrup,Sugars,,
73,Mint,Herbs,,
74,Mustard,Condiments,,
75,Noodle,Other,,
76,Nutmeg,Spices,,
77,Orange,Fruits,,
78,Parsley root,Vegetables,,
79,Pea,Vegetables,,
80,Peanit,Nut,,
81,Peanut butter,Nut,,
82,Pine nut,Nut,,
83,Pointed cabbage,Vegetables,,
84,Pomegranate,Fruits,,
85,Pork,Meats,,
86,Pumpkin seed,Seeds,,
87,Red wine,Alcohol,,
88,Ricotta,Cheeses,,
89,Rosemary,Herbs,,
90,Rye bread,Other,,
91,Salmon,Meats,,
92,Sesame seed,Seeds,,
93,Tahin,Other,,
94,Tarragon,Herbs,,
95,Turmeric,Spices,,
96,Vanilla,Herbs,,
97,Walnut,Nut,,
98,White wine,Alcohol,,
99,Worcestershire sauce,Condiments,,
100,Yoghurt,Dairy,,
